package,ecosystem,repo,git_url,canonical_url,valid,reason
@sinclair/typebox,npm,sinclairzx81/typebox,,,,"npm registry metadata is wrong upstream: the latest @sinclair/typebox version (0.34.x) and top-level `repository` point at github.com/sinclairzx81/sinclair-typebox, an 8-star placeholder repo created 2025-12-24. The real repo is sinclairzx81/typebox (6.7k stars, created 2017, actively maintained). Older versions (0.8.x/0.9.x) still carry the correct URL."
tomlkit,pypi,python-poetry/tomlkit,,,,git URL names the original-author repo sdispater/tomlkit; the project moved to the python-poetry org
crashtest,pypi,python-poetry/crashtest,,,,git URL names sdispater/crashtest; the project moved to the python-poetry org
pendulum,pypi,python-pendulum/pendulum,,,,git URL names sdispater/pendulum; the project moved to the python-pendulum org
deepdiff,pypi,seperman/deepdiff,,,,git URL points at the fork qlustered/deepdiff; the canonical repo is seperman/deepdiff
sphinxcontrib-httpdomain,pypi,sphinx-contrib/httpdomain,,,,git URL is the placeholder github.com/me/spam; the real repo is sphinx-contrib/httpdomain
types-aiofiles,pypi,python/typeshed,,,,git URL points at typeshed-internal/stub_uploader (the stub-upload tool); the 38 types-* stub packages are sourced from python/typeshed
microsoft-kiota-abstractions,pypi,microsoft/kiota-python,,,,git URL names the multi-language generator repo microsoft/kiota; the Python kiota libraries live in microsoft/kiota-python
binutils,cpp,,https://github.com/gnutools/binutils-gdb.git,https://sourceware.org/git/binutils-gdb.git,,"GNU Toolchain org, read-only mirror of sourceware; HEAD identical to upstream, 1,874 refs shared, pushed same-day; issues disabled"
xorgproto,cpp,,https://gitlab.freedesktop.org/xorg/proto/xorgproto.git,,,dead GitHub slug freedesktop/xorg-xorgproto (404) removed; xorgproto lives on freedesktop GitLab (verified git ls-remote OK)
libunistring,cpp,,https://github.com/1g4-mirror/libunistring.git,https://git.savannah.gnu.org/git/libunistring.git,,"HEAD identical to Savannah, all 40 refs shared. Weakest of the set: a personal mirror account with issues ENABLED but empty — the mirror-issues gate in build_workload keeps that empty tracker from scoring as a zero backlog"
mpfr,cpp,,https://gitlab.inria.fr/mpfr/mpfr.git,,,no GitHub repo; canonical source on gitlab.inria.fr (verified ls-remote OK)
gnumpc,cpp,,https://gitlab.inria.fr/mpc/mpc.git,,,no GitHub repo; GNU MPC canonical source on gitlab.inria.fr (verified ls-remote OK)
readline,cpp,,https://github.com/sailfishos-mirror/readline.git,https://git.savannah.gnu.org/git/readline.git,,"Sailfish OS Mirror org, mirror of Savannah readline; HEAD identical, all 30 refs shared; issues disabled"
tiff,cpp,,https://gitlab.com/libtiff/libtiff.git,,,no GitHub repo; libtiff canonical source on gitlab.com (verified ls-remote OK)
acl,cpp,,https://github.com/sailfishos-mirror/acl.git,https://git.savannah.nongnu.org/git/acl.git,,"Sailfish OS Mirror org, mirror of Savannah nongnu acl; HEAD identical, all 20 refs shared; issues disabled"
libgpg-error,cpp,,https://github.com/gpg/libgpg-error.git,https://git.gnupg.org/libgpg-error.git,,"GnuPG's OWN GitHub org (gpg); HEAD identical to git.gnupg.org, 176 refs shared; issues disabled ('maintainers are not tracking this mirror')"
isl,cpp,Meinersbur/isl,,,,no reachable canonical git source (repo.or.cz serves no smart-http); Meinersbur/isl is the maintained GitHub mirror (verified)
docutils,pypi,docutils/docutils,,,,upstream is SourceForge SVN (no git); docutils/docutils is the official read-only Git mirror on GitHub (verified)
gcc,cpp,gcc-mirror/gcc,https://gcc.gnu.org/git/gcc.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). GCC upstream is on Sourceware (gcc.gnu.org); gcc-mirror/gcc is the official GitHub read-only mirror. verified reachable via git ls-remote / GitHub API"
gettext,cpp,,https://github.com/autotools-mirror/gettext.git,https://git.savannah.gnu.org/git/gettext.git,,"GNU Autotools mirror org; HEAD identical to Savannah, 123 refs shared; issues disabled"
glibc,cpp,,https://github.com/gnutools/glibc.git,https://sourceware.org/git/glibc.git,,"GNU Toolchain org, read-only mirror of sourceware; HEAD identical to upstream, all 1,644 refs present, pushed same-day; issues disabled"
gmp,cpp,gmp-mirror/gmp,,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.65). HTTP-verified. gmp-mirror/gmp follows the autotools-mirror naming convention. Canonical is gmplib.org Mercurial — unusual for this table; included for completeness. verified reachable via git ls-remote / GitHub API"
linux,cpp,torvalds/linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.99). Linus Torvalds' canonical Linux kernel tree on kernel.org; torvalds/linux on GitHub is his official mirror. Replaces archlinux/linux (distro fork) from value-data. verified reachable via git ls-remote / GitHub API"
grpcio-status,pypi,grpc/grpc,https://github.com/grpc/grpc.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.92). Same grpc/grpc mono-repo. verified reachable via git ls-remote / GitHub API"
pluggy,pypi,pytest-dev/pluggy,https://github.com/pytest-dev/pluggy.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.97). HTTP-verified. pytest's plugin-management system. verified reachable via git ls-remote / GitHub API"
protobuf,pypi,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.99). HTTP-verified. Google's Protocol Buffers; renamed from google/protobuf to protocolbuffers/protobuf years ago. verified reachable via git ls-remote / GitHub API"
pytz,pypi,stub42/pytz,https://github.com/stub42/pytz.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). HTTP-verified. Stuart Bishop's IANA TZ database wrapper. verified reachable via git ls-remote / GitHub API"
audit,cpp,linux-audit/audit-userspace,https://github.com/linux-audit/audit-userspace.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). Red Hat-led Linux audit-userspace; the GitHub repo IS upstream (not a mirror). verified reachable via git ls-remote / GitHub API"
autoconf,cpp,autotools-mirror/autoconf,https://git.savannah.gnu.org/git/autoconf.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.65). HTTP-verified. autotools-mirror is the conventional GNU autotools mirror org. Canonical: git.savannah.gnu.org/cgit/autoconf.git. verified reachable via git ls-remote / GitHub API"
ca-certificates,cpp,,https://salsa.debian.org/debian/ca-certificates.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.85). Debian's ca-certificates source package on Salsa (Debian GitLab); ultimately sourced from Mozilla NSS root store. opensuse/ca-certificates in value-data is openSUSE's variant. verified reachable via git ls-remote / GitHub A"
cairo-graphics-library,cpp,freedesktop-unofficial-mirror/cairo,https://gitlab.freedesktop.org/cairo/cairo.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.70). freedesktop-unofficial-mirror is a recognised mirror org for fdo projects (verified). Canonical: gitlab.freedesktop.org/cairo/cairo. verified reachable via git ls-remote / GitHub API"
freetype,cpp,freetype/freetype,https://git.savannah.nongnu.org/git/freetype/freetype2.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.65). FreeType's canonical Git is on Savannah (savannah.nongnu.org); freetype/freetype on GitHub is the official mirror. verified reachable via git ls-remote / GitHub API"
libogg,cpp,xiph/ogg,,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). Xiph.Org's libogg lives on gitlab.xiph.org; xiph/ogg on GitHub is the official mirror. canonical gitlab.xiph.org endpoint unreachable, using the verified GitHub mirror xiph/ogg. verified reachable via git ls-remote / GitHub"
libselinux,cpp,selinuxproject/selinux,https://github.com/SELinuxProject/selinux.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). SELinuxProject/selinux on GitHub IS upstream (libselinux is a sub-component of the monorepo). verified reachable via git ls-remote / GitHub API"
libtool,cpp,autotools-mirror/libtool,https://git.savannah.gnu.org/git/libtool.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.62). HTTP-verified. autotools-mirror org. Canonical: git.savannah.gnu.org/cgit/libtool.git. verified reachable via git ls-remote / GitHub API"
libwebp,cpp,webmproject/libwebp,https://chromium.googlesource.com/webm/libwebp.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). Google's libwebp canonical repo on Chromium googlesource; webmproject/libwebp on GitHub is the official mirror. verified reachable via git ls-remote / GitHub API"
libxcb,cpp,gitlab-freedesktop-mirrors/libxcb,https://gitlab.freedesktop.org/xorg/lib/libxcb.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.65). HTTP-verified. fdo mirror org on GitHub. verified reachable via git ls-remote / GitHub API"
m4,cpp,autotools-mirror/m4,https://git.savannah.gnu.org/git/m4.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.62). HTTP-verified. autotools-mirror org. Canonical: git.savannah.gnu.org/cgit/m4.git. verified reachable via git ls-remote / GitHub API"
ncurses,cpp,mirror/ncurses,,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.75). Thomas Dickey maintains ncurses; canonical source is his archives at invisible-mirror.net (CVS-based, snapshot tarballs). mirror/ncurses on GitHub is a snapshot mirror. value-data's thomasdickey/ncurses-snapshots is also ac"
pango,cpp,gnome/pango,https://gitlab.gnome.org/gnome/pango.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). GNOME project; canonical on gitlab.gnome.org; gnome/pango on GitHub is the official mirror. verified reachable via git ls-remote / GitHub API"
pixman,cpp,,https://gitlab.freedesktop.org/pixman/pixman.git,,,"Canonical upstream is gitlab.freedesktop.org/pixman/pixman; github.com/libpixman/pixman is an archived read-only mirror. git_url-only override (blank repo slug) forces the live GitLab identity now that the pipeline processes GitLab repos, so pixman resolves to a gl/ id instead of the archived github mirror. Verified reachable via git ls-remote."
python,cpp,python/cpython,https://github.com/python/cpython.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.99). CPython upstream — the value-data entry 10der/homeassistant-custom_components-awtrix is bogus (random user's HA component). verified reachable via git ls-remote / GitHub API"
python3-defaults,cpp,,https://salsa.debian.org/cpython-team/python3-defaults.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.85). Pure Debian metapackage — no real upstream. Should be filtered out of cpp pipeline. Not a fundable project. verified reachable via git ls-remote / GitHub API"
sqlite,cpp,sqlite/sqlite,https://github.com/sqlite/sqlite.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.90). SQLite's primary VCS is Fossil at sqlite.org/cgi/src; sqlite/sqlite on GitHub is the project's official Git mirror. verified reachable via git ls-remote / GitHub API"
decorator,pypi,micheles/decorator,https://github.com/micheles/decorator.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.92). HTTP-verified. Michele Simionato's decorator library. verified reachable via git ls-remote / GitHub API"
py,pypi,pytest-dev/py,https://github.com/pytest-dev/py.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.92). HTTP-verified. Deprecated `py` library that pytest historically used. verified reachable via git ls-remote / GitHub API"
pycodestyle,pypi,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). Python Code Quality Authority. verified reachable via git ls-remote / GitHub API"
sortedcontainers,pypi,grantjenks/python-sortedcontainers,https://github.com/grantjenks/python-sortedcontainers.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.95). HTTP-verified. Grant Jenks's sorted collections. verified reachable via git ls-remote / GitHub API"
wmi,pypi,tjguk/wmi,https://github.com/tjguk/wmi.git,,,"ex-LLM-guess URL, dropped when the LLM git-URL tier was removed (conf 0.92). HTTP-verified. Tim Golden's Windows WMI wrapper. verified reachable via git ls-remote / GitHub API"
performance-now,npm,myrne/performance-now,,,,"npm `repository` points to braveg1rl/performance-now, a 0-byte README-only stub (single 'Create README.md' commit, 2021, GitHub size 0); the real code is myrne/performance-now (160 stars, CoffeeScript src/, not a fork). Both handles are Meryn Stol."
iconv-lite,npm,pillarjs/iconv-lite,,,,"ecosyste.ms repo_full_name ashtuchkin/iconv-lite is stale (301-redirects to pillarjs/iconv-lite, the current home); pin canonical. Manually approved."
@jridgewell/gen-mapping,npm,jridgewell/sourcemaps,,,,consolidated into the jridgewell/sourcemaps monorepo; ecosyste.ms still names the archived standalone repo. Manually approved.
@jridgewell/sourcemap-codec,npm,jridgewell/sourcemaps,,,,consolidated into the jridgewell/sourcemaps monorepo; ecosyste.ms still names the archived standalone repo. Manually approved.
@jridgewell/trace-mapping,npm,jridgewell/sourcemaps,,,,consolidated into the jridgewell/sourcemaps monorepo; ecosyste.ms still names the archived standalone repo. Manually approved.
flat-cache,npm,jaredwray/cacheable,,,,merged into the jaredwray/cacheable monorepo; ecosyste.ms's jaredwray/flat-cache repo is deleted (404). Manually approved.
criterion,crates,criterion-rs/criterion.rs,,,,moved from original author bheisler/criterion.rs to the maintained criterion-rs org; ecosyste.ms still names bheisler. Manually approved.
serde_test,crates,serde-rs/serde,,,,serde_test lives in the main serde-rs/serde monorepo; both our serde-rs/test and ecosyste.ms's serde-deprecated/test are the retired standalone repo. Manually approved.
google-api-core,pypi,googleapis/google-cloud-python,,,,google split google-cloud-python into per-package repos; keep the google-cloud-python monorepo as canonical for this package. Manually approved.
google-auth,pypi,googleapis/google-cloud-python,,,,google split google-cloud-python into per-package repos; keep the google-cloud-python monorepo as canonical for this package. Manually approved.
googleapis-common-protos,pypi,googleapis/google-cloud-python,,,,google split google-cloud-python into per-package repos; keep the google-cloud-python monorepo as canonical for this package. Manually approved.
pg8000,pypi,,https://codeberg.org/tlocke/pg8000.git,,,github slug tlocke/pg8000 is 404; project moved to Codeberg codeberg.org/tlocke/pg8000 (verified git ls-remote OK). Non-GitHub upstream.
gethostname,crates,,https://codeberg.org/swsnr/gethostname.rs.git,,,github slug swsnr/gethostname.rs is 404; swsnr migrated to Codeberg codeberg.org/swsnr/gethostname.rs (verified ls-remote OK). Non-GitHub upstream.
bevy_state_macros,crates,bevyengine/bevy,,,,fork slug martintrumann/bevy_state_macros is 404; the crate is a subcrate of the bevyengine/bevy monorepo (verified).
google-cloud-core,pypi,googleapis/google-cloud-python,,,,repo googleapis/python-cloud-core archived Feb 2026 — code lives in the googleapis/google-cloud-python monorepo
libx11,cpp,,https://gitlab.freedesktop.org/xorg/lib/libx11.git,,,"Canonical upstream is X.Org's freedesktop GitLab (xorg/lib/libx11, id 701, actively maintained). The prior resolution picked salsa.debian.org/xorg-team/lib/libx11 — Debian's packaging repo (its own description: 'libx11 packaging') — which measures Debian packaging activity, not upstream development, and mis-attributes the institutional host to debian.org instead of the X.Org Foundation. Verified live + not archived via GitLab API."
libxext,cpp,,https://gitlab.freedesktop.org/xorg/lib/libxext.git,,,"Canonical upstream is X.Org's freedesktop GitLab (xorg/lib/libxext, id 714). Replaces salsa.debian.org/xorg-team/lib/libxext, a Debian packaging mirror. Verified live + not archived via GitLab API."
libxau,cpp,,https://gitlab.freedesktop.org/xorg/lib/libxau.git,,,"Canonical upstream is X.Org's freedesktop GitLab (xorg/lib/libxau, id 706, actively maintained). Replaces salsa.debian.org/xorg-team/lib/libxau, a Debian packaging mirror. Verified live + not archived via GitLab API."
libxdmcp,cpp,,https://gitlab.freedesktop.org/xorg/lib/libxdmcp.git,,,"Canonical upstream is X.Org's freedesktop GitLab (xorg/lib/libxdmcp, id 712). Replaces salsa.debian.org/xorg-team/lib/libxdmcp, a Debian packaging mirror. Verified live + not archived via GitLab API."
libxrender,cpp,,https://gitlab.freedesktop.org/xorg/lib/libxrender.git,,,"Canonical upstream is X.Org's freedesktop GitLab (xorg/lib/libxrender, id 730). Replaces salsa.debian.org/xorg-team/lib/libxrender, a Debian packaging mirror. Verified live + not archived via GitLab API."
bzip2,cpp,,https://github.com/sailfishos-mirror/bzip2.git,https://sourceware.org/git/bzip2.git,,"Sailfish OS Mirror org, mirror of sourceware bzip2 (the live 1.0.x line); HEAD identical, all 15 refs shared; issues disabled. NOT gitlab.com/bzip2/bzip2, which is the ARCHIVED v1.1 fork (renamed bzip2-archived), nor federicomenaquintero/bzip2, a stale 2021 personal clone"
nss,cpp,mozilla/nss,,,,"Mozilla's Network Security Services. Repology's `nss` project page lists two github candidates and the resolver takes the first, which is github.com/curl/curl — curl appears there only because it once shipped an NSS TLS backend (--with-nss, removed in curl 8.3), i.e. as a CONSUMER of nss, not its upstream. That mis-attributed nss's 152k Debian + 357k Homebrew installs to curl/curl, pushing curl's Debian total to 355k — above the ~230k panel cap, which is impossible for a single repo. Canonical repo is mozilla/nss (nss-dev/nss redirects there; id 41180493, active, not archived). OSS-Fuzz independently gives hg.mozilla.org/projects/nss (Mercurial, so not usable as a git identity)."
python:numpy,cpp,numpy/numpy,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. google/highway won purely on the letter 'g'. Highway is a Google SIMD library numpy VENDORS: numpy's own .gitmodules pins numpy/_core/src/highway -> github.com/google/highway, one of 7 submodules. Debian ships numpy and highway as SEPARATE source packages; PyPI numpy project_urls.source = github.com/numpy/numpy. The mis-map put 440k installs (32% of highway's total) on highway, a SCORED repo."
perl,cpp,Perl/perl5,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. arsv/perl-cross is an unaffiliated cross-compilation helper, not perl. Homebrew's perl formula head = github.com/perl/perl5. (Debian builds from the CPAN tarball, but perl5 is the canonical git.)"
redis,cpp,redis/redis,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. redis-windows/redis-windows is an unofficial third-party Windows build. Debian's redis 5:8.0.6-2 copyright reads 'Source: github.com/redis/redis'. Debian ships redis AND valkey as separate source packages (Redis 8 is tri-licensed incl. AGPLv3, so it returned to main) — this row is redis only."
rust,cpp,rust-lang/rust,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. bytecodealliance/wasm-component-ld is a tool rust BUNDLES (src/tools/wasm-component-ld depends on the crate). Homebrew's rust formula head = rust-lang/rust."
mawk,cpp,ThomasDickey/mawk-snapshots,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. mikebrennan000/mawk-2 is an abandoned 2016 beta of mawk 2.0.0 — a version NO distro ships. Debian sid and Homebrew both ship mawk 1.3.4.20260302, homepage invisible-island.net/mawk (Thomas Dickey), who publishes the official git export as ThomasDickey/mawk-snapshots. Upstream of record is RCS/tarball; this is the maintainer's own git."
less,cpp,gwsw/less,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. baulk/less-windows is a third-party Windows build (0 stars). greenwoodsoftware.com/less (Mark Nudelman) routes its bug tracker to github.com/gwsw/less/issues and its release notes cite that repo's issue numbers; tags v704-v706 match released versions."
pciutils,cpp,pciutils/pciutils,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. pciutils/pciids is the pci.ids DATA file (two files: README.md + pci.ids). The software lives in pciutils/pciutils — Martin Mares's page names git.kernel.org/.../pciutils.git as primary, 'mirrored at GitHub' -> pciutils/pciutils, which is what Homebrew builds."
lapack,cpp,Reference-LAPACK/lapack,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. OpenMathLib/OpenBLAS is a DIFFERENT project (it merely provides a LAPACK implementation) and is its own Debian source package. Debian's lapack 3.12.1 debian/watch is literally 'Owner: Reference-LAPACK / Project: lapack'."
snowballstemmer,cpp,snowballstem/snowball,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. shibukawa/snowball_py is a dead 2019 Python port. PyPI snowballstemmer 3.1.1 declares Homepage github.com/snowballstem/snowball, author 'Snowball Developers'."
texlive,cpp,TeX-Live/texlive-source,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. plk/biber is the unrelated BibLaTeX backend. TeX Live's master is SVN (svn://tug.org/texlive/trunk); tug.org/texlive/svn links 'the github mirror of just sources' -> TeX-Live/texlive-source, which is PROJECT-OWNED (safe to credit)."
apache-arrow,cpp,apache/arrow,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. apache/arrow-testing is arrow's OWN test-data submodule (apache/arrow .gitmodules: [submodule ""testing""] url = .../arrow-testing). The project is apache/arrow."
qca,cpp,,https://invent.kde.org/libraries/qca.git,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. highfidelity/qca is an abandoned 2014 fork (last push 2014-03-28). QCA's real home is KDE's GitLab: Debian's qca2 copyright names invent.kde.org/libraries/qca as Source, and Homebrew's head points there too. Pointed at the canonical GitLab rather than KDE's github mirror (KDE/qca) now that classify() recognises every host in HOST_NICKNAMES as GitLab — invent.kde.org used to fall through to 'custom' and lose its repo_id, which is why a mirror was needed."
qthttpserver,cpp,qt/qthttpserver,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. qt-labs/qthttpserver is the DEAD incubator repo (last commit 2020-06-29); it has more stars (244 vs 27), which is what makes it look plausible. The module graduated to qt/qthttpserver, Qt's official GitHub mirror of code.qt.io (Gerrit). Caveat: commits arrive via Gerrit bot and issues are disabled, so its risk-stage activity signals are weak."
opencl-headers,cpp,KhronosGroup/OpenCL-Headers,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. KhronosGroup/OpenCL-CLHPP is the C++ bindings — a SEPARATE Debian source package (khronos-opencl-clhpp). The C headers package (khronos-opencl-headers) watches KhronosGroup/OpenCL-Headers."
crypto++,cpp,weidai11/cryptopp,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. abdes/cryptopp-cmake self-describes as 'A modern CMake build project for Crypto++ (github.com/weidai11/cryptopp)' — it is a build wrapper. Debian's libcrypto++ 8.9.0 debian/watch points at github.com/weidai11/cryptopp/tags."
libspf2,cpp,shevek/libspf2,,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. helsinki-systems/libspf2 is a 0-star FORK (GitHub API reports parent: shevek/libspf2). Canonical distribution is libspf2.net (Debian's watch target); shevek/libspf2 is the author's git."
gtk,cpp,,https://gitlab.gnome.org/GNOME/gtk.git,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. Both candidates were lazka/libsass and lazka/sassc — ARCHIVED FORKS OF A SASS COMPILER, nothing to do with GTK. GTK's canonical home is gitlab.gnome.org/GNOME/gtk (89,750 commits, active); github.com/GNOME/gtk states 'Read-only mirror of https://gitlab.gnome.org/GNOME/gtk'. git_url override -> a real gl/gnome-* identity, which the pipeline scores."
python:pygobject,cpp,,https://gitlab.gnome.org/GNOME/pygobject.git,,,"Repology lists multiple github candidates and the cpp resolver takes the FIRST, but Repology returns them ALPHABETICALLY, so an unrelated repo wins. pvlbzn/gobject is a 1-star Google Geocode API wrapper — entirely unrelated. PyPI PyGObject declares Repository = gitlab.gnome.org/GNOME/pygobject.git; the GitHub repo is a stated read-only mirror."
make,cpp,,https://git.savannah.gnu.org/git/make.git,,,"GNU make's canonical upstream is Savannah git (Homebrew's make.rb: head 'https://git.savannah.gnu.org/git/make.git'). It was mapped to conan-io/conan-center-index — a package RECIPE INDEX — via an ecosyste.ms/conan registry hit, not repology. No official GitHub mirror exists (gnu-mirror/make is 404). Classifies as 'custom' -> out of top-repo scope."
