name,github_repo,ecosystem,package,homepage,default_branch,license,language,topics,stars,archived,created_at,pushed_at,description,category
.github,,,,,main,Apache-2.0,,,41,False,2020-07-21T15:05:44Z,2024-06-18T22:14:29Z,Community health files for the Python Packaging Authority,pypa
abi3audit,pypa/abi3audit,pypi,abi3audit,https://pypi.org/project/abi3audit,main,MIT,Python,cpython-api | cpython-extensions | cpython-internals | python,122,False,2022-09-20T03:07:25Z,2026-04-27T04:06:14Z,Scans Python packages for abi3 violations and inconsistencies,pypa
advisory-database,pypa/advisory-database,,,,main,CC-BY-4.0,Shell,,340,False,2021-06-01T21:03:32Z,2026-04-23T07:43:22Z,Advisory database for Python packages published on pypi.org,pypa
auditwheel,pypa/auditwheel,,,,main,NOASSERTION,Python,,520,False,2016-01-14T02:05:24Z,2026-04-12T09:27:53Z,Auditing and relabeling cross-distribution Linux wheels.,pypa
bandersnatch,pypa/bandersnatch,,,,main,AFL-3.0,Python,bandersnatch | mirror | mirroring | pep381 | pypi | pypi-mirror-client,535,False,2018-05-14T14:52:22Z,2026-04-27T07:53:23Z,A PyPI mirror client according to PEP 381 + PEP 503 + PEP 691,pypa
bootstrap,pypa/bootstrap,,,https://bootstrap.pypa.io,main,Apache-2.0,Dockerfile,,10,False,2024-06-24T16:05:53Z,2026-04-14T22:20:48Z,Assets for bootstrap.pypa.io,pypa
bot-test,pypa/bot-test,,,,master,,,,3,True,2017-04-03T00:24:58Z,2017-04-03T00:41:39Z,,pypa
browntruck,pypa/browntruck,,,,master,,Python,,8,False,2017-03-19T18:28:04Z,2024-01-29T22:32:11Z,,pypa
build,pypa/build,,,https://build.pypa.io,main,MIT,Python,python,844,False,2020-05-10T16:20:46Z,2026-04-23T20:06:43Z,"A simple, correct Python build frontend",pypa
cibuildwheel,pypa/cibuildwheel,,,https://cibuildwheel.pypa.io,main,BSD-2-Clause,Python,appveyor | azure-pipelines | build-automation | ci | circleci | github-actions | pypi | python | python-wheels | travis-ci | wheel,2227,False,2017-03-19T20:59:00Z,2026-04-27T06:51:01Z,🎡 Build Python wheels for all the platforms with minimal configuration. ,pypa
copr,pypa/copr,,,,master,,,,6,True,2015-01-08T14:05:45Z,2015-07-01T16:01:46Z,Package files for building PyPA packages in copr,pypa
dependency-groups,pypa/dependency-groups,,,https://dependency-groups.readthedocs.io,main,MIT,Python,,14,False,2024-09-06T06:40:47Z,2026-04-15T13:44:20Z,A standalone implementation of PEP 735 Dependency Groups,pypa
distlib,pypa/distlib,,,http://distlib.readthedocs.io/,master,NOASSERTION,Python,,63,False,2021-12-10T12:23:35Z,2025-07-18T07:00:31Z,A low-level library which implements some Python packaging  standards (PEPs) and which could be used by third-party packaging tools to achieve interoperability.,pypa
distutils,pypa/distutils,,,,main,,Python,,60,False,2020-05-25T19:31:30Z,2026-04-13T23:34:51Z,distutils as found in cpython,pypa
docker-python,pypa/docker-python,,,,master,,,,7,True,2015-02-15T01:43:59Z,2015-02-15T17:01:55Z,,pypa
easy_install,pypa/easy_install,,,,master,MIT,Python,,10,True,2019-11-23T18:17:13Z,2019-11-23T18:36:17Z,,pypa
flit,pypa/flit,,,https://flit.pypa.io/,main,BSD-3-Clause,Python,,2245,False,2015-03-13T21:22:27Z,2026-04-25T14:53:22Z,Simplified packaging of Python modules,pypa
get-pip,pypa/get-pip,,,https://bootstrap.pypa.io/pip/,main,MIT,Python,,878,False,2016-01-20T12:50:35Z,2026-04-26T22:05:46Z,"Helper scripts to install pip, in a Python installation that doesn't have it.",pypa
get-virtualenv,pypa/get-virtualenv,,,,main,,,,18,False,2019-01-25T11:33:53Z,2026-04-14T22:15:58Z,,pypa
gh-action-pip-audit,pypa/gh-action-pip-audit,,,https://github.com/marketplace/actions/gh-action-pip-audit,main,Apache-2.0,Python,github-actions | pip | security | supply-chain,88,False,2022-06-13T21:23:00Z,2026-04-20T20:27:23Z,A GitHub Action for pip-audit,pypa
gh-action-pypi-publish,pypa/gh-action-pypi-publish,,,https://packaging.python.org/guides/publishing-package-distribution-releases-using-github-actions-ci-cd-workflows/,unstable/v1,BSD-3-Clause,Python,actions | github-action | github-actions | github-actions-python | hacktoberfest | oidc | pypa-guide | pypi | python | python-packaging | release | release-automation | release-helper | secrets | testpypi | twine | upload | workflow | workflow-automation | workflows,1164,False,2019-03-27T18:44:44Z,2026-04-07T13:30:08Z,"The blessed :octocat: GitHub Action, for publishing your :package: distribution files to PyPI, the tokenless way: https://github.com/marketplace/actions/pypi-publish",pypa
hatch,pypa/hatch,,,https://hatch.pypa.io/latest/,master,MIT,Python,build | cli | packaging | plugin | python | versioning | virtualenv,7146,False,2017-05-31T23:37:53Z,2026-04-24T04:19:10Z,"Modern, extensible Python project management",pypa
history,pypa/history,,,https://history.readthedocs.org,master,Apache-2.0,Python,,9,True,2014-06-14T18:24:18Z,2014-06-14T18:52:50Z,history generates history/changelog files for a project,pypa
installer,pypa/installer,,,https://installer.readthedocs.io/,main,MIT,Python,python | wheel,145,False,2020-04-11T19:32:09Z,2026-04-20T18:29:45Z,A low-level library for installing from a Python wheel distribution.,pypa
integration-test,pypa/integration-test,,,,master,,,packaging | pip | python | setuptools | tox | virtualenv | wheel,19,True,2019-01-29T14:02:33Z,2019-02-02T14:42:27Z,ensure core packaging tools work well with each other,pypa
interoperability-peps,pypa/interoperability-peps,,,,master,CC0-1.0,Python,,23,True,2014-12-29T04:35:09Z,2020-08-09T04:23:59Z,Development repo for evolution of PyPA interoperability standards (released versions are published as PEPs on python.org),pypa
manylinux,pypa/manylinux,,,,main,MIT,Shell,,1738,False,2016-01-11T04:02:51Z,2026-04-24T23:35:07Z,Python wheels that work on any linux (almost),pypa
packaging,pypa/packaging,,,https://packaging.pypa.io/,main,NOASSERTION,Python,,725,False,2014-05-15T22:49:43Z,2026-04-24T19:21:54Z,Core utilities for Python packages,pypa
packaging-problems,pypa/packaging-problems,,,,master,,,,180,False,2013-11-02T22:24:35Z,2024-11-13T23:17:40Z,An issue tracker for the problems in packaging,pypa
packaging.python.org,pypa/packaging,,,http://packaging.python.org,main,,Python,,1613,False,2014-01-15T05:37:10Z,2026-04-21T14:37:25Z,Python Packaging User Guide,pypa
pep470,pypa/pep470,,,,master,,Python,,5,True,2015-09-24T16:39:47Z,2015-10-05T15:18:16Z,,pypa
pip,pypa/pip,,,https://pip.pypa.io/,main,MIT,Python,packaging | pip | python,10180,False,2011-03-06T14:30:46Z,2026-04-26T20:57:05Z,The Python package installer,pypa
pip-audit,pypa/pip-audit,pypi,pip-audit,https://pypi.org/project/pip-audit/,main,Apache-2.0,Python,pip | python | security | security-audit | supply-chain,1270,False,2021-09-02T15:19:39Z,2026-04-23T14:38:12Z,"Audits Python environments, requirements files and dependency trees for known security vulnerabilities, and can automatically fix them",pypa
pip-test-package,pypa/pip-test-package,,,https://github.com/pypa/pip/search?q=https%3A%2F%2Fgithub.com%2Fpypa%2Fpip-test-package,master,,Python,,6,False,2011-09-13T22:08:27Z,2025-07-18T20:44:09Z,Used in pip's test suite,pypa
pipenv,pypa/pipenv,,,https://pipenv.pypa.io,main,MIT,Python,packaging | pip | pipfile | python | virtualenv,25086,False,2017-01-20T00:44:02Z,2026-04-27T03:57:20Z, Python Development Workflow for Humans.,pypa
pipfile,pypa/pipfile,,,,main,NOASSERTION,Python,,3241,False,2016-11-18T22:37:55Z,2024-04-09T01:58:31Z,,pypa
pipx,pypa/pipx,,,https://pipx.pypa.io,main,MIT,Python,cli | hacktoberfest | pip | pypi | python | venv,12754,False,2018-10-06T18:47:46Z,2026-04-20T18:29:52Z,Install and Run Python Applications in Isolated Environments,pypa
pkg_resources,pypa/pkg_resources,,,,main,,Python,license-mit,19,False,2016-06-22T21:02:06Z,2025-05-21T21:53:50Z,Extraction of pkg_resources from setuptools.,pypa
pypa-bot,pypa/pypa-bot,,,,master,,,,4,False,2019-10-01T14:15:35Z,2019-10-01T14:15:36Z,Source code behind @pypa-bot (eventually),pypa
pypa-docs-theme,pypa/pypa-docs-theme,,,,master,NOASSERTION,Python,,6,True,2017-06-09T04:12:07Z,2023-11-05T17:54:34Z,Common base Sphinx theme for PyPA projects,pypa
pypa.io,pypa/pypa,,,https://pypa.io,main,,Python,,27,False,2014-09-04T17:07:45Z,2023-11-02T20:00:04Z,Source code for the pypa.io website,pypa
pyproject-hooks,pypa/pyproject-hooks,,,https://pyproject-hooks.readthedocs.io/,main,MIT,Python,packaging | python,130,False,2017-07-13T13:06:18Z,2026-04-05T19:03:53Z,A low-level library for calling build-backends in `pyproject.toml`-based project,pypa
pyproject-metadata,pypa/pyproject-metadata,,,https://pep621.readthedocs.io,main,MIT,Python,hacktoberfest,44,False,2021-08-25T20:56:41Z,2026-04-12T04:43:59Z,PEP 621 metadata parsing,pypa
python-manylinux-demo,pypa/python-manylinux-demo,,,,master,CC0-1.0,C,,233,False,2016-01-24T01:37:52Z,2021-02-24T16:57:46Z,Demo project for building Python wheels for Linux with Travis-CI,pypa
readme_renderer,pypa/readme_renderer,pypi,readme-renderer,https://pypi.org/project/readme-renderer/,main,Apache-2.0,Python,markdown | packaging | packaging-for-pypi | packaging-python | pypi | pypi-package | python | python3 | readme | restructuredtext | rst,171,False,2014-02-27T18:21:19Z,2026-04-25T00:00:28Z,Safely render long_description/README files in Warehouse,pypa
rootbeer,pypa/rootbeer,,,,main,,,,3,False,2024-07-29T22:54:46Z,2024-08-07T13:49:40Z,Bootstrapping Python build backends for source-only environments.,pypa
sample-namespace-packages,pypa/sample-namespace-packages,,,,master,Apache-2.0,Python,,190,False,2017-02-01T21:50:24Z,2024-04-30T14:40:05Z,Tests against namespace packages,pypa
sampleproject,pypa/sampleproject,,,https://packaging.python.org/tutorials/packaging-projects/,main,MIT,Python,,5242,False,2013-12-03T16:43:27Z,2024-11-06T22:36:40Z,"A sample project that exists for PyPUG's ""Tutorial on Packaging and Distributing Projects""",pypa
scripttest,pypa/scripttest,,,https://scripttest.readthedocs.org/,main,,Python,,60,False,2013-08-21T16:17:27Z,2025-04-09T17:03:01Z,Utilities to help with testing command line scripts,pypa
setuptools,pypa/setuptools,pypi,setuptools,https://pypi.org/project/setuptools/,main,MIT,Python,,2825,False,2016-03-29T14:02:33Z,2026-04-13T09:04:58Z,Official project repository for the Setuptools build system,pypa
setuptools-scm,pypa/setuptools-scm,,,https://setuptools-scm.readthedocs.io/en/latest/,main,,Python,metadata | packaging | python | version-control,946,False,2015-07-01T17:57:56Z,2026-04-25T16:28:16Z,the blessed package to manage your versions by scm tags,pypa
trove-classifiers,pypa/trove-classifiers,,,https://pypi.org/p/trove-classifiers/,main,Apache-2.0,Python,,183,False,2020-03-23T16:45:11Z,2026-01-14T14:54:16Z,Canonical source for classifiers on PyPI.,pypa
twine,pypa/twine,,,https://twine.readthedocs.io/,main,Apache-2.0,Python,pypi | pypi-package | pypi-upload | python | python-wheel | python3 | wheel,1768,False,2013-08-13T15:39:39Z,2026-04-23T16:26:23Z,Utilities for interacting with PyPI,pypa
virtualenv,pypa/virtualenv,,,https://virtualenv.pypa.io,main,MIT,Python,cython | hacktoberfest | jython | library | pypa | pypy | pypy3 | python | virtualenv,5034,False,2011-03-06T14:33:27Z,2026-04-27T10:43:39Z,Virtual Python Environment builder,pypa
wheel,pypa/wheel,,,,main,MIT,Python,,558,False,2017-07-25T20:24:25Z,2026-04-22T15:50:45Z,The official binary distribution format for Python,pypa
wheel-builders,pypa/wheel-builders,,,,master,MIT,,,9,True,2016-02-04T23:55:05Z,2023-02-17T03:48:34Z,Companion repo for the wheel-builders@python.org mailing list,pypa
.github,,,,,master,,,,13,False,2019-05-31T01:27:21Z,2024-09-09T20:37:03Z,Organization-wide GitHub settings,python
asyncio,python/asyncio,,,https://docs.python.org/3/library/asyncio.html,redirect,,,async-await | asyncio | concurrency | high-performance | networking | python | python-3,1075,True,2015-04-10T16:41:54Z,2021-04-28T17:37:52Z,asyncio historical repository,python
bedevere,python/bedevere,,,,main,Apache-2.0,Python,,136,False,2017-04-07T18:15:00Z,2026-04-14T03:14:39Z,A bot to help identify missing information for CPython pull requests,python
blurb,python/blurb,,,,main,NOASSERTION,Python,,19,False,2024-03-20T15:41:45Z,2026-04-25T17:40:51Z,Command-line tool to manage CPython Misc/NEWS.d entries,python
blurb_it,python/blurb_it,,,https://blurb-it.herokuapp.com/,main,Apache-2.0,Python,,31,False,2018-09-12T00:53:09Z,2026-04-14T02:40:46Z,`blurb add` over the internet,python
bpo-builder,python/bpo-builder,,,,master,Apache-2.0,Python,,7,True,2017-12-15T08:00:38Z,2018-05-18T23:29:39Z,bugs.python.org builder image & other deployment artifacts,python
bugs.python.org,python/bugs,,,,master,,,,12,False,2018-06-15T13:23:47Z,2018-06-26T13:16:57Z,Meta-issue tracker for bugs.python.org,python
buildmaster-config,python/buildmaster-config,,,https://buildbot.python.org/,main,MIT,Python,buildbot-configuration,56,False,2017-01-31T03:29:06Z,2026-04-27T08:54:01Z,Configuration for buildbot.python.org,python
cherry-picker,python/cherry-picker,,,,main,Apache-2.0,Python,,62,False,2019-05-30T20:49:46Z,2026-04-24T16:09:30Z,🐍🍒⛏ Utility script for backporting/cherry-picking CPython changes from master into one of the maintenance branches.,python
community-starter-kit,python/community-starter-kit,,,,master,,Python,,49,False,2012-03-12T19:23:37Z,2013-01-22T18:33:31Z,Collection of resources for Python community organizers,python
consul-operator,python/consul-operator,,,,master,,Go,,18,True,2017-08-05T21:57:14Z,2017-08-10T04:11:18Z,A kubernetes operator for consul,python
core-sprint,python/core-sprint,,,https://python-core-sprint-2020.readthedocs.io/,main,CC0-1.0,Python,,17,True,2020-08-07T20:19:04Z,2020-10-23T13:20:02Z,Repo for Virtual Core Dev Sprint 2020,python
core-workflow,python/core-workflow,,,https://mail.python.org/mailman/listinfo/core-workflow,main,Apache-2.0,Python,,103,False,2016-12-10T00:36:07Z,2025-10-01T09:32:20Z,Issue tracker for CPython's workflow,python
cpython,python/cpython,,,https://www.python.org,main,NOASSERTION,Python,,72473,False,2017-02-10T19:23:51Z,2026-04-27T07:22:20Z,The Python programming language,python
cpython-bin-deps,python/cpython-bin-deps,,,,main,,,,29,False,2017-05-22T17:22:58Z,2026-04-10T16:21:55Z,Binaries that the cpython build process depends on,python
cpython-devcontainers,python/cpython-devcontainers,,,,main,MIT,Dockerfile,,15,False,2024-09-23T17:42:22Z,2026-04-06T23:14:33Z,Repository for devcontainers of CPython,python
cpython-source-deps,python/cpython-source-deps,,,,main,,,,28,False,2017-05-22T17:20:29Z,2026-03-03T13:44:42Z,Source for packages that the cpython build process depends on,python
devguide,python/devguide,,,https://devguide.python.org/,main,CC0-1.0,Python,,2069,False,2016-07-22T17:48:56Z,2026-04-25T18:36:13Z,The Python developer's guide,python
devinabox,python/devinabox,,,,master,Apache-2.0,Python,,18,False,2016-05-08T20:03:52Z,2016-05-09T19:23:54Z,Documentation and tools to help host a sprint on Python core development,python
discord-bot,python/discord-bot,,,,main,Apache-2.0,Python,,24,False,2021-07-24T05:21:05Z,2023-07-08T13:10:22Z,Discord Bot for Core Devs Discord server,python
docker-bpo,python/docker-bpo,,,,master,Apache-2.0,Python,,14,False,2017-02-26T20:47:20Z,2022-01-27T09:32:25Z,Docker image for bugs.python.org,python
docs-community,python/docs-community,,,https://docs-community.readthedocs.io/en/latest/,main,CC0-1.0,Makefile,,53,False,2021-04-16T18:19:40Z,2026-04-08T15:38:45Z,Community management for documentation contributors and the Docs Workgroup,python
docsbuild-scripts,python/docsbuild-scripts,,,,main,,Python,,81,False,2014-09-01T19:29:17Z,2026-04-02T18:22:34Z,scripts for building documentation on docs.python.org,python
editorial-board,python/editorial-board,,,https://python.github.io/editorial-board/,main,,HTML,,10,False,2024-01-08T23:57:46Z,2025-10-16T16:35:48Z,Communications of the Python Documentation Editorial Board,python
exceptiongroups,python/exceptiongroups,,,,master,,,,22,True,2019-12-16T19:41:57Z,2021-02-19T10:02:17Z,An early draft of a PEP around Exception Groups in Python,python
getpython3.com,python/getpython3,,,http://www.getpython3.com,master,,CSS,,46,False,2011-09-28T12:30:52Z,2018-06-08T16:26:41Z,getpython3.com page and resources.,python
historic-python-materials,python/historic-python-materials,,,,master,,Python,,22,False,2012-05-11T16:15:38Z,2012-05-11T16:33:10Z,Contains some old pages from python.org,python
hugs.python.org,python/hugs,,,,master,Apache-2.0,,,10,False,2020-02-02T19:09:38Z,2021-05-12T21:47:46Z,,python
importlib_metadata,python/importlib_metadata,,,https://importlib-metadata.readthedocs.io,main,,Python,,140,False,2020-10-22T20:13:11Z,2026-04-13T23:42:06Z,Library to access metadata for Python packages,python
importlib_resources,python/importlib_resources,,,,main,,Python,,71,False,2020-10-21T21:02:58Z,2026-04-13T23:37:11Z,Backport of the importlib.resources module,python
language-summit,python/language-summit,,,https://python-language-summit.readthedocs.io/en/latest/,main,,,,7,False,2021-01-14T17:01:30Z,2021-01-14T19:23:57Z,Resources for the annual Python Language Summit,python
library-fuzzers,python/library-fuzzers,,,,main,MIT,Python,,4,False,2025-11-17T10:16:26Z,2026-04-25T15:18:44Z,"Fuzzer definitions, seed corpora and dictionaries to fuzz-test the stdlib",python
memory.python.org,python/memory,,,https://memory.python.org,main,MIT,HTML,benchmarking | cpython | memory,17,False,2025-06-21T21:12:24Z,2026-03-17T23:06:29Z,A memory benchmarking and analysis tool for CPython development,python
miss-islington,python/miss-islington,,,,main,Apache-2.0,Python,,114,False,2017-09-05T17:06:04Z,2026-04-14T02:41:16Z,🐍🍒⛏🤖 - A bot for backporting and merging CPython pull requests,python
mypy,python/mypy,,,https://www.mypy-lang.org/,master,NOASSERTION,Python,linter | python | typechecker | types | typing,20389,False,2012-12-07T13:30:23Z,2026-04-27T12:05:09Z,Optional static typing for Python,python
mypy_extensions,python/mypy_extensions,,,,master,NOASSERTION,Python,mypy | mypyc | type-checking,154,False,2019-01-14T23:37:26Z,2025-04-22T15:04:03Z,Extensions for mypy,python
overload-sig,python/overload-sig,,,,master,,,,5,True,2016-08-17T14:22:49Z,2023-12-02T16:53:56Z,"Discussion about discussion overload, see https://mail.python.org/mm3/mailman3/lists/overload-sig@python.org/",python
peps,python/peps,,,https://peps.python.org,main,,reStructuredText,,4917,False,2013-10-08T13:27:12Z,2026-04-26T02:59:56Z,Python Enhancement Proposals,python
planet,python/planet,,,https://planetpython.org,main,,Python,,143,False,2014-09-19T04:26:25Z,2026-04-25T08:17:08Z,Configuration for Python planets,python
pootle-python-org-backup,python/pootle-python-org-backup,,,,master,,Python,,5,True,2020-11-01T21:41:47Z,2025-06-23T14:27:31Z,,python
prebuilt-cpython,python/prebuilt-cpython,,,,main,CC0-1.0,,,26,False,2025-10-13T18:18:24Z,2025-11-18T20:09:27Z,Repository for discussing/planning prebuilt binaries of CPython,python
psf-chef,python/psf-chef,,,https://psf-chef.readthedocs.org/,master,,Ruby,,46,True,2012-05-21T02:31:56Z,2020-02-13T13:34:53Z,Chef configuration and cookbooks for the Python Software Foundation,python
psf-community-resources,python/psf-community-resources,,,,master,NOASSERTION,,,13,False,2017-08-17T16:27:10Z,2017-08-20T03:14:13Z,Short guides to PSF-related resources,python
psf-docs,python/psf-docs,,,,master,,Python,,22,False,2012-05-06T14:19:20Z,2015-08-13T09:51:44Z,PSF Docs,python
psf-infra-meta,python/psf-infra-meta,,,,master,,,,11,False,2017-06-23T02:32:37Z,2022-04-08T09:26:49Z,Meta-repository for PSF backed or managed systems. Created mainly for the issue tracker :),python
