project_id,name,domain,github_repo,ecosystem,package,homepage,description,state,license
adoptium,Eclipse Adoptium®,adoptium.net,adoptium/dash,,,https://adoptium.net,The mission of the Eclipse Adoptium Top-Level Project is to produce high-quality runtimes and associated technology for use within the Java ecosystem.  We achieve this through a set of Projects under.,Regular,Apache Software License 2.0
adoptium,Eclipse Adoptium®,adoptium.net,adoptium/dash,,,https://adoptium.net,The mission of the Eclipse Adoptium Top-Level Project is to produce high-quality runtimes and associated technology for use within the Java ecosystem.  We achieve this through a set of Projects under.,Regular,Apache Software License 2.0
adoptium.aqavit,Eclipse AQAvit,projects.eclipse.org,adoptium/TKG,,,https://projects.eclipse.org/projects/adoptium.aqavit,Eclipse AQAvit™ is the quality and runtime branding evaluation project for Java SE runtimes and associated technology.  During a release it takes a functionally complete Java runtime and ensures that.,Incubating,Apache Software License 2.0
adoptium.aqavit,Eclipse AQAvit,projects.eclipse.org,adoptium/TKG,,,https://projects.eclipse.org/projects/adoptium.aqavit,Eclipse AQAvit™ is the quality and runtime branding evaluation project for Java SE runtimes and associated technology.  During a release it takes a functionally complete Java runtime and ensures that.,Incubating,Apache Software License 2.0
adoptium.emt4j,Eclipse Migration Toolkit for Java,projects.eclipse.org,adoptium/emt4j,,,https://projects.eclipse.org/projects/adoptium.emt4j,The Eclipse Migration Toolkit for Java is a tooling project for assisting the Java version migration. The project provides static/dynamic tools and documents that support the migration of Java...,Incubating,Apache Software License 2.0
adoptium.emt4j,Eclipse Migration Toolkit for Java,projects.eclipse.org,adoptium/emt4j,,,https://projects.eclipse.org/projects/adoptium.emt4j,The Eclipse Migration Toolkit for Java is a tooling project for assisting the Java version migration. The project provides static/dynamic tools and documents that support the migration of Java...,Incubating,Apache Software License 2.0
adoptium.incubator,Eclipse Adoptium Incubator,projects.eclipse.org,adoptium/Incubator,,,https://projects.eclipse.org/projects/adoptium.incubator,"The intent of the proposed Eclipse Adoptium Incubator is to foster collaboration, and hopefully results in work proceeding to contribution by their original authors into upstream projects, including..",Incubating,Apache Software License 2.0
adoptium.incubator,Eclipse Adoptium Incubator,projects.eclipse.org,adoptium/Incubator,,,https://projects.eclipse.org/projects/adoptium.incubator,"The intent of the proposed Eclipse Adoptium Incubator is to foster collaboration, and hopefully results in work proceeding to contribution by their original authors into upstream projects, including..",Incubating,Apache Software License 2.0
adoptium.mc,Eclipse Mission Control,projects.eclipse.org,adoptium/jmc-build,,,https://projects.eclipse.org/projects/adoptium.mc,Eclipse Mission Control™ enables you to monitor and manage Java applications without introducing the performance overhead normally associated with these types of tools. It uses data collected for...,Incubating,Apache Software License 2.0
adoptium.mc,Eclipse Mission Control,projects.eclipse.org,adoptium/jmc-build,,,https://projects.eclipse.org/projects/adoptium.mc,Eclipse Mission Control™ enables you to monitor and manage Java applications without introducing the performance overhead normally associated with these types of tools. It uses data collected for...,Incubating,Apache Software License 2.0
adoptium.temurin,Eclipse Temurin®,adoptium.net,adoptium/jenkins-helper,,,https://adoptium.net,"The Eclipse Temurin® project provides code and processes that support the building of runtime binaries and associated technologies that are high performance, enterprise-caliber, cross-platform, open..",Regular,Apache Software License 2.0
adoptium.temurin,Eclipse Temurin®,adoptium.net,adoptium/jenkins-helper,,,https://adoptium.net,"The Eclipse Temurin® project provides code and processes that support the building of runtime binaries and associated technologies that are high performance, enterprise-caliber, cross-platform, open..",Regular,Apache Software License 2.0
adoptium.temurin-compliance,Eclipse Temurin Compliance,projects.eclipse.org,,,,https://projects.eclipse.org/projects/adoptium.temurin-compliance,"The Eclipse Temurin Compliance project is responsible for obtaining, managing, and executing the Oracle Java SE Compatibility Kit (JCK) on Eclipse Temurin binaries.  The work is done on private...",Incubating,Eclipse Public License 2.0
adoptium.temurin-compliance,Eclipse Temurin Compliance,projects.eclipse.org,,,,https://projects.eclipse.org/projects/adoptium.temurin-compliance,"The Eclipse Temurin Compliance project is responsible for obtaining, managing, and executing the Oracle Java SE Compatibility Kit (JCK) on Eclipse Temurin binaries.  The work is done on private...",Incubating,Eclipse Public License 2.0
asciidoc,AsciiDoc®,projects.eclipse.org,,,,https://projects.eclipse.org/projects/asciidoc,"The AsciiDoc® Top Level Project is a collaborative, open source initiative at the Eclipse Foundation to develop projects and pursue ideas that advance the AsciiDoc language and its ecosystem of...",Regular,Eclipse Public License 2.0
asciidoc,AsciiDoc®,projects.eclipse.org,,,,https://projects.eclipse.org/projects/asciidoc,"The AsciiDoc® Top Level Project is a collaborative, open source initiative at the Eclipse Foundation to develop projects and pursue ideas that advance the AsciiDoc language and its ecosystem of...",Regular,Eclipse Public License 2.0
asciidoc.asciidoc-lang,AsciiDoc Language,projects.eclipse.org,,,,https://projects.eclipse.org/projects/asciidoc.asciidoc-lang,"AsciiDoc is a comprehensive, semantic markup language for producing a variety of presentation-rich output formats from content encoded in a concise, human-readable, plain text format. It also includes",Incubating,Eclipse Public License 2.0
asciidoc.asciidoc-lang,AsciiDoc Language,projects.eclipse.org,,,,https://projects.eclipse.org/projects/asciidoc.asciidoc-lang,"AsciiDoc is a comprehensive, semantic markup language for producing a variety of presentation-rich output formats from content encoded in a concise, human-readable, plain text format. It also includes",Incubating,Eclipse Public License 2.0
asciidoc.austen,Eclipse Austen,projects.eclipse.org,,,,https://projects.eclipse.org/projects/asciidoc.austen,"AsciiDoc is a comprehensive, semantic markup language for producing a variety of presentation-rich output formats from content encoded in a concise, human-readable, plain text format.
This...",Incubating,Eclipse Public License 2.0
asciidoc.austen,Eclipse Austen,projects.eclipse.org,,,,https://projects.eclipse.org/projects/asciidoc.austen,"AsciiDoc is a comprehensive, semantic markup language for producing a variety of presentation-rich output formats from content encoded in a concise, human-readable, plain text format.
This...",Incubating,Eclipse Public License 2.0
automotive,Eclipse Automotive,eclipse.dev,,,,https://eclipse.dev/automotive/,"The Eclipse Automotive Top-Level Project provides a space for open source projects to explore ideas and technologies addressing challenges in the automotive, mobility and transportation domain. It is.",Regular,Eclipse Public License 2.0
automotive,Eclipse Automotive,eclipse.dev,,,,https://eclipse.dev/automotive/,"The Eclipse Automotive Top-Level Project provides a space for open source projects to explore ideas and technologies addressing challenges in the automotive, mobility and transportation domain. It is.",Regular,Eclipse Public License 2.0
automotive.adaaa,Eclipse ADAAA (Adaptive Cruise Control Demo Application for Adaptive AUTOSAR),projects.eclipse.org,eclipse/adaaa,,,https://projects.eclipse.org/projects/automotive.adaaa,"ADAAA is example application for Adaptive AUTOSAR with the following goals:
* Provide a tutorial with simple examples code base for getting involved with AUTOSAR methodology and each functional...",Archived,The MIT License (MIT)
automotive.adaaa,Eclipse ADAAA (Adaptive Cruise Control Demo Application for Adaptive AUTOSAR),projects.eclipse.org,eclipse/adaaa,,,https://projects.eclipse.org/projects/automotive.adaaa,"ADAAA is example application for Adaptive AUTOSAR with the following goals:
* Provide a tutorial with simple examples code base for getting involved with AUTOSAR methodology and each functional...",Archived,The MIT License (MIT)
automotive.adore,Eclipse Automated Driving Open Research (ADORe),eclipse-adore.github.io,,,,https://eclipse-adore.github.io/,"Eclipse ADORe is a modular software library and toolkit for decision making, planning, control and simulation of automated vehicles. It is developed by The German Aerospace Center (DLR), Institute for",Incubating,Eclipse Public License 2.0
automotive.adore,Eclipse Automated Driving Open Research (ADORe),eclipse-adore.github.io,,,,https://eclipse-adore.github.io/,"Eclipse ADORe is a modular software library and toolkit for decision making, planning, control and simulation of automated vehicles. It is developed by The German Aerospace Center (DLR), Institute for",Incubating,Eclipse Public License 2.0
automotive.ambientlight,Eclipse Ambient Light Services,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.ambientlight,"The Eclipse Ambient Light Services showcase vizualizes possible new lighting concepts which are adaptive to different specific driving scenarios, like e.g. coming and leaving but also further options.",Incubating,Apache Software License 2.0
automotive.ambientlight,Eclipse Ambient Light Services,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.ambientlight,"The Eclipse Ambient Light Services showcase vizualizes possible new lighting concepts which are adaptive to different specific driving scenarios, like e.g. coming and leaving but also further options.",Incubating,Apache Software License 2.0
automotive.ankaios,Eclipse Ankaios,eclipse-ankaios.github.io,,,,https://eclipse-ankaios.github.io/ankaios/,"Eclipse Ankaios manages multiple nodes and virtual machines with a single unique API in order to start, stop, configure, and update containers and workloads. It provides a central place to manage...",Incubating,Apache Software License 2.0
automotive.ankaios,Eclipse Ankaios,eclipse-ankaios.github.io,,,,https://eclipse-ankaios.github.io/ankaios/,"Eclipse Ankaios manages multiple nodes and virtual machines with a single unique API in order to start, stop, configure, and update containers and workloads. It provides a central place to manage...",Incubating,Apache Software License 2.0
automotive.ankaios.ankaios-dashboard,Eclipse Ankaios Dashboard,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.ankaios.ankaios-dashboard,"The Ankaios Dashboard is the UI for the Eclipse Ankaios project. It offers insights into a running Ankaios cluster, allows for modification/deletion/creation of workloads and offers a dependency graph",Incubating,The MIT License (MIT)
automotive.ankaios.ankaios-dashboard,Eclipse Ankaios Dashboard,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.ankaios.ankaios-dashboard,"The Ankaios Dashboard is the UI for the Eclipse Ankaios project. It offers insights into a running Ankaios cluster, allows for modification/deletion/creation of workloads and offers a dependency graph",Incubating,The MIT License (MIT)
automotive.app4mc,Eclipse APP4MC,eclipse.dev,,,,https://eclipse.dev/app4mc/,"Application Platform Project for Multi Core 
Eclipse APP4MC™ is a platform for engineering embedded multi- and many-core software systems. The platform enables the creation and management of complex..",Regular,Eclipse Public License 2.0
automotive.app4mc,Eclipse APP4MC,eclipse.dev,,,,https://eclipse.dev/app4mc/,"Application Platform Project for Multi Core 
Eclipse APP4MC™ is a platform for engineering embedded multi- and many-core software systems. The platform enables the creation and management of complex..",Regular,Eclipse Public License 2.0
automotive.arche,Eclipse ArchE,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.arche,Eclipse ArchE (Architecture Enabler) provides a tool for Architecture Modeling following an holistic Model-Based-Systems-Engineering (MBSE) approach instead of having a heterogeneous environment of...,Incubating,The MIT License (MIT)
automotive.arche,Eclipse ArchE,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.arche,Eclipse ArchE (Architecture Enabler) provides a tool for Architecture Modeling following an holistic Model-Based-Systems-Engineering (MBSE) approach instead of having a heterogeneous environment of...,Incubating,The MIT License (MIT)
automotive.autoapiframework,Eclipse Automotive API Framework,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.autoapiframework,Decoupling of the application logic from the basic software stack enables automotive suppliers (no matter if Tier-1 or in-house teams at an OEM) to contribute with building blocks to Software-defined.,Incubating,Apache Software License 2.0
automotive.autoapiframework,Eclipse Automotive API Framework,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.autoapiframework,Decoupling of the application logic from the basic software stack enables automotive suppliers (no matter if Tier-1 or in-house teams at an OEM) to contribute with building blocks to Software-defined.,Incubating,Apache Software License 2.0
automotive.autosd,Eclipse Automotive Integration for AutoSD,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.autosd,"Eclipse Automotive Integration for AutoSD uses an AutoSD image, built and tailored for its community, to run and test both Eclipse SDV projects and blueprints.
Eclipse Automotive Integration for...",Incubating,The MIT License (MIT)
automotive.autosd,Eclipse Automotive Integration for AutoSD,projects.eclipse.org,,,,https://projects.eclipse.org/projects/automotive.autosd,"Eclipse Automotive Integration for AutoSD uses an AutoSD image, built and tailored for its community, to run and test both Eclipse SDV projects and blueprints.
Eclipse Automotive Integration for...",Incubating,The MIT License (MIT)
automotive.autowrx,Eclipse Autowrx,docs.digital.auto,,,,https://docs.digital.auto/,"Eclipse Autowrx is the open source implementation of digital.auto (http://digital.auto), an industry-wide initiative enabling the automotive industry to establish a new, digital-first approach for the",Incubating,The MIT License (MIT)
