name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
ArgoUML,argouml,argouml.tigris.org,http://argouml.tigris.org/,,,,ArgoUML is the leading open source UML modeling tool and includes support for all standard UML 1.4 diagrams. It runs on any Java platform and is available in ten languages. See the feature list for mo,2026-06-29T23:07:58+00:00
Backdrop CMS,backdrop-cms,backdropcms.org,https://backdropcms.org/,,,,"Backdrop CMS is a Drupal fork with a focus on features, performance, and usability. Backdrop puts the needs of the small to medium sized businesses and non-profits first. Backdrop contains more of the",2026-06-29T23:07:58+00:00
Bongo,bongo,bongo-project.org,http://bongo-project.org/,,,,"The Bongo Project is creating fun and simple mail, calendaring and contacts software: on top of a standards-based server stack; we're innovating fresh and interesting web user interfaces for managing ",2026-06-29T23:07:58+00:00
Buildbot,buildbot,buildbot.net,http://buildbot.net/,,,,"Buildbot is a freely-licensed framework which enables software developers to automate software build, test, and release processes for their software projects. First released in 2003, Buildbot is used ",2026-06-29T23:07:58+00:00
Common Workflow Language,common-workflow-language,commonwl.org,https://www.commonwl.org/,,,,"The Common Workflow Language (CWL) is a specification for describing analysis workflows and tools in a way that makes them portable and scalable across a variety of software and hardware environments,",2026-06-29T23:07:58+00:00
coreboot,coreboot,coreboot.org,https://www.coreboot.org/,,,,coreboot is an extended firmware platform that delivers lightning fast secure boot on modern computers and embedded systems. As an open source project it provides auditability and maximum control over,2026-06-29T23:07:58+00:00
Darcs,darcs,darcs.net,http://darcs.net/,,,,"Darcs is a distributed revision control system written in Haskell. In Darcs, every copy of your source code is a full repository, which allows for full operation in a disconnected environment, and als",2026-06-29T23:07:58+00:00
Debian Copyright Aggregation Project,debian-copyright-aggregation-project,,,,,,"The Debian Copyright Aggregation Project offers contributors to the Debian project the optional opportunity, regarding their works contributed to Debian, to assign copyrights or sign a license enforce",2026-06-29T23:07:58+00:00
Etherpad,etherpad,etherpad.org,http://etherpad.org/,,,,Etherpad is is a highly customizable web-based editor providing collaborative real-time editing.,2026-06-29T23:07:58+00:00
Gevent,gevent,gevent.org,http://www.gevent.org/,,,,"Gevent is a fast, coroutine-based networking library for Python. Gevent is used in network applications, including servers that scale up to tens thousands of connections but without the complexity usu",2026-06-29T23:07:58+00:00
Git,git,git-scm.com,https://git-scm.com/,,,,Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency.,2026-06-29T23:07:58+00:00
GPL Compliance Project for Linux Developers,gpl-compliance-project-for-linux-developers,,,,,,"The GPL Compliance Project for Linux Developers is comprised of copyright holders in the kernel, Linux, who have contributed to Linux under its license, the GPLv2. These copyright holders have formall",2026-06-29T23:07:58+00:00
Harvey OS,harvey-os,harvey-os.github.io,https://harvey-os.github.io/,,,,"Harvey is a new operating system. It’s most directly descended from Plan 9, the research operating system developed at Bell Labs as a successor to Unix. This influence spans from its distributed appli",2026-06-29T23:07:58+00:00
Houdini,houdini,houdiniproject.org,https://houdiniproject.org,,,,"Houdini is an all-in-one fundraising platform developed in Ruby on Rails. It’s licensed under AGPL/LGPL and is available, without cost, to anyone in the world. We help nonprofits, people, and movement",2026-06-29T23:07:58+00:00
Inkscape,inkscape,inkscape.org,https://inkscape.org/,,,,"Inkscape is an Open Source vector graphics editor, with capabilities similar to Illustrator, Freehand, CorelDraw, or Xara X using the open-standard Scalable Vector Graphics (SVG) file format. Inkscape",2026-06-29T23:07:58+00:00
Institute for Computing in Research,institute-for-computing-in-research,computinginresearch.org,https://computinginresearch.org/,,,,"The Institute for Computing in Research runs a mentoring program that trains students finishing 10th, 11th and 12th grade to do rigorous scientific research using free software. The Institute recruits",2026-06-29T23:07:58+00:00
K-3D,k-3d,k-3d.org,http://www.k-3d.org,,,,"K-3D is the free-as-in-freedom 3D modeling, animation, and rendering system for GNU/Linux, MacOSX, and Windows operating systems. K-3D is based on a powerful Visualization Pipeline that enables proced",2026-06-29T23:07:58+00:00
Kallithea,kallithea,kallithea-scm.org,https://kallithea-scm.org/,,,,"Kallithea is a free software source code management system supporting two leading version control systems, Mercurial and Git. Kallithea hosts your code, manages access control lists and provides an ea",2026-06-29T23:07:58+00:00
Liblouis,liblouis,liblouis.io,https://liblouis.io/,,,,"The Liblouis software suite provides an open-source braille translator, back-translator and formatter for a large number of languages and braille codes. It is a set of libraries designed for use in an",2026-06-29T23:07:58+00:00
LibreHealth,librehealth,librehealth.io,http://librehealth.io/,,,,"LibreHealth is the foundation of a worldwide ecosystem of free and open source Health IT innovation, and is a place where people can come together to build tools that enhance the quality of healthcare",2026-06-29T23:07:58+00:00
libssh,libssh,libssh.org,https://www.libssh.org/,,,,"libssh is a multiplatform C library implementing the SSHv2 protocol for client and server side. With libssh, you can build applications to remotely execute programs, transfer files, use a secure and t",2026-06-29T23:07:58+00:00
Linux XIA,linux-xia,github.com,https://github.com/AltraMayor/XIA-for-Linux/wiki,AltraMayor/XIA-for-Linux,,,"Linux XIA is a new protocol stack for Linux built using eXpress Internet Architecture (XIA), an interoperable meta network architecture. Linux XIA is designed to meet unfulfilled demands of real-world",2026-06-29T23:07:58+00:00
Mercurial,mercurial,mercurial-scm.org,https://www.mercurial-scm.org/,,,,"Mercurial is a fast, lightweight Source Control Management system which can track revisions to software during development. Since its conception in April 2005, Mercurial has been adopted by many proje",2026-06-29T23:07:58+00:00
Metalink,metalink,metalinker.org,http://www.metalinker.org/,,,,Metalink is dedicated to improving downloads. Metalink makes it much easier for people &mdash; especially those in areas with inferior Internet connections &mdash; to download Open Source and Free Sof,2026-06-29T23:07:58+00:00
MicroBlocks,microblocks,microblocks.fun,http://microblocks.fun/,,,,"MicroBlocks is a new programming language that runs right inside microcontroller boards such as the micro:bit, the NodeMCU and many Arduino boards. The MicroBlocks system allows for dynamic, parallel ",2026-06-29T23:07:58+00:00
OpenTripPlanner,opentripplanner,opentripplanner.org,http://www.opentripplanner.org/,,,,"OpenTripPlanner is the leading open source platform for multimodal trip itinerary planning and network analysis. Launched in 2009, OpenTripPlanner has since attracted a thriving community of users and",2026-06-29T23:07:58+00:00
