name,domain,homepage_url,github_repo,ecosystem,package,repo_url,category,subcategory,description,license,accepted,fetched_at
3MF Consortium,3mf.io,http://3mf.io/,3MFConsortium/lib3mf,,,https://github.com/3MFConsortium/lib3mf,Projects,All,"3MF is an industry consortium working to define a 3D printing format that will allow design applications to send full-fidelity 3D models to a mix of other applications, platforms, services and printer",,2016-11-09,2026-06-29T23:07:34+00:00
3MF Consortium Working Group,3mf.io,https://3mf.io/,3MFConsortium/lib3mf,,,https://github.com/3MFConsortium/lib3mf,Projects,All,"3MF is an industry consortium working to define a 3D printing format that will allow design applications to send full-fidelity 3D models to a mix of other applications, platforms, services and printer",,2016-11-09,2026-06-29T23:07:34+00:00
5 Spot Machine Scheduler,github.com,https://github.com/finos/5-spot,finos/5-spot,,,https://github.com/finos/5-spot,Projects,All,"develop a Kubernetes-native, time-based scheduler for physical and virtual infrastructure that automates resource lifecycle management to optimize costs, enhance energy efficiency, and enable proactiv",Apache-2.0,2026-04-09,2026-06-29T23:07:34+00:00
5G Super Blueprints,wiki.lfnetworking.org,https://wiki.lfnetworking.org/x/EAADAw,5G-Super-Blue-Print/5G-Super-Blueprint-Reference-Architecture-Seattle-2022,,,https://github.com/5G-Super-Blue-Print/5G-Super-Blueprint-Reference-Architecture-Seattle-2022,Projects,All,"The mission of the Project is to develop integration projects centering around 5G and 6G communication technologies, such as core, radio access network (RAN), fixed access networks.",Apache-2.0,2024-10-30,2026-06-29T23:07:34+00:00
AAA,wiki.opendaylight.org,https://wiki.opendaylight.org/display/ODL/AAA,,,,,Projects,All,"Authentication, Authorization and Accounting (AAA) ODL Project.",,2014-05-15,2026-06-29T23:07:34+00:00
Academy Color Encoding System (ACES),acescentral.com,https://acescentral.com/,aces-aswf/aces-core,,,https://github.com/aces-aswf/aces-core,Projects,All,"The mission of the project is to develop a global standard for interchanging digital image files, managing color workflows, and creating masters for delivery and archiving.",Apache-2.0,2025-08-05,2026-06-29T23:07:34+00:00
Academy Software Foundation (ASWF),aswf.io,https://www.aswf.io/,AcademySoftwareFoundation/tac,,,https://github.com/AcademySoftwareFoundation/tac,Projects,All,The mission of the Academy Software Foundation (ASWF) is to increase the quality and quantity of contributions to the content creation industry’s open source software base; to provide a neutral forum ,,2018-08-10,2026-06-29T23:07:34+00:00
Accessibility Theme Builder,github.com,https://github.com/finos/a11y-theme-builder,finos/a11y-theme-builder,,,,Projects,All,DesignOps toolchain theme builder for accessibility inclusion using Atomic Design.,Apache-2.0,2023-10-12,2026-06-29T23:07:34+00:00
Accord Project,accordproject.org,https://www.accordproject.org/,accordproject/apap,,,https://github.com/accordproject/apap,Projects,All,The Accord Project is developing an ecosystem and open source tools for smart legal contracts.,,2019-05-14,2026-06-29T23:07:34+00:00
ACRN Project,projectacrn.org,https://projectacrn.org/,projectacrn/acrn-hypervisor,,,https://github.com/projectacrn/acrn-hypervisor,Projects,All,"ACRN is a flexible, lightweight reference hypervisor, built with real-time and safety-criticality in mind, optimized to streamline embedded development through an open source platform.",,2018-03-13,2026-06-29T23:07:34+00:00
Active & Available Inventory (AAI),wiki.onap.org,https://wiki.onap.org/x/e5lk,,,,,Projects,All,"Active and Available Inventory (AAI) is the ONAP subsystem that provides real-time views of Resources and Services and their relationships. AAI not only forms a registry of active, available, and assi",,2017-06-09,2026-06-29T23:07:34+00:00
Adaptive Cloud Agent - Python (ACA-Py),github.com,https://github.com/orgs/openwallet-foundation,,,,https://github.com/orgs/openwallet-foundation,Projects,All,"Adaptive Cloud Agent - Python (ACA-Py) (Aries Cloud Agent Python) is an open-source framework designed to facilitate the creation, management, and utilization of decentralized digital identities. Adap",Apache-2.0,2025-08-27,2026-06-29T23:07:34+00:00
Adlik,adlik.ai,https://adlik.ai/,,,,,Projects,All,Adlik offers a end-to-end optimizing framework for deep learning models whose goal is to accelerate deep learning inference process both on cloud and embedded environments.,Apache-2.0,2019-11-19,2026-06-29T23:07:34+00:00
Adversarial Robustness Toolbox,adversarial-robustness-toolbox.org,https://adversarial-robustness-toolbox.org/,,,,,Projects,All,"Adversarial Robustness Toolbox (ART) provides tools that enable developers and researchers to evaluate, defend, certify and verify Machine Learning models and applications against the adversarial thre",MIT,2020-09-16,2026-06-29T23:07:34+00:00
Aeraki Mesh,aeraki.net,https://www.aeraki.net/,aeraki-mesh/aeraki,,,https://github.com/aeraki-mesh/aeraki,Projects,All,"Aeraki Mesh allows you to manage any layer-7 traffic in a service mesh.
While service mesh becomes an important infrastructure for microservices, many service mesh implementations mainly focus on HTTP",Apache-2.0,2022-06-14,2026-06-29T23:07:34+00:00
Aether Fund,aetherproject.org,https://aetherproject.org/,,,,,Projects,All,The Aether Fund supports the Aether Project.,TBD / NA,2024-01-31,2026-06-29T23:07:34+00:00
Aether Project,aetherproject.org,https://aetherproject.org/,,,,,Projects,All,"Aether is an open source 5G platform designed for the edge. It includes a cloud native Mobile Core (SD-Core) and an O-RAN compliant RAN (SD-RAN), both running on a Kubernetes-based edge cloud.",Apache-2.0,2024-01-31,2026-06-29T23:07:34+00:00
Agent2Agent,a2aproject.org,https://a2aproject.org/,a2aproject/A2A,,,https://github.com/a2aproject/A2A,Projects,All,help AI agents across different ecosystems communicate with each other,Apache-2.0,2025-06-20,2026-06-29T23:07:34+00:00
agentgateway,agentgateway.dev,https://www.agentgateway.dev/,agentgateway/agentgateway,,,https://github.com/agentgateway/agentgateway,Projects,All,"The agentgateway project is focused on creating a secure, scalable, and standardized foundation for AI agents to discover, communicate with, and leverage external tools and services—enabling seamless ",Apache-2.0,2025-08-21,2026-06-29T23:07:34+00:00
Agentic AI Foundation (AAIF),aaif.io,https://aaif.io/,aaif/aaif-landscape,,,https://github.com/aaif/aaif-landscape,Projects,All,Agentic AI Foundation supports agentic AI projects.,TBD / NA,2025-12-09,2026-06-29T23:07:34+00:00
AGENTS.md,agents.md,https://agents.md/,agentsmd/agents,,,https://github.com/agentsmd/agents.md,Projects,All,"AGENTS.md is a simple, open format for guiding coding agents.",MIT,2025-12-08,2026-06-29T23:07:34+00:00
AGNTCY,agntcy.org,https://agntcy.org/,agntcy/dir-spec,,,https://github.com/agntcy/dir-spec,Projects,All,"The AGNTCY (pronounced “agency”), aka Internet of Agents Collective, or the Collective, is the collective of contributors and maintainers building the Internet of Agents (IoA): an open, interoperable,",Apache-2.0,2025-07-22,2026-06-29T23:07:34+00:00
Agones,agones.dev,https://agones.dev/site/,agones-dev/agones,,,https://github.com/agones-dev/agones,Projects,All,enable dedicated game server hosting and scaling on Kubernetes using standard Kubernetes APIs and tooling,Apache-2.0,2026-03-11,2026-06-29T23:07:34+00:00
AgStack,agstack.org,https://agstack.org/,agstack/OpenAgri-WeatherService,,,https://github.com/agstack/OpenAgri-WeatherService,Projects,All,"The mission of the AgStack Foundation is to improve global agriculture efficiency through the creation, maintenance and enhancement of re-usable, open and specialized digital infrastructure for data a",,2021-05-05,2026-06-29T23:07:34+00:00
AI Explainability 360,ai-explainability-360.org,https://ai-explainability-360.org/,,,,,Projects,All,interpretability and explainability of data and machine learning models. AI Explainability 360 is an open source toolkit that can help users better understand the ways that machine learning models pre,Apache-2.0,2020-09-16,2026-06-29T23:07:34+00:00
AI Fairness 360,ai-fairness-360.org,https://ai-fairness-360.org/,,,,,Projects,All,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.",Apache-2.0,2020-09-16,2026-06-29T23:07:34+00:00
AI Governance Framework,air-governance-framework.finos.org,https://air-governance-framework.finos.org/,finos/ai-governance-framework,,,https://github.com/finos/ai-governance-framework,Projects,All,"To mutually develop a governance framework that manages the on-boarding, development, and running of AI-based solutions within financial services organizations.",Other,2025-04-03,2026-06-29T23:07:34+00:00
