name,domain,homepage_url,github_repo,ecosystem,package,repo_url,maturity,category,subcategory,description,accepted,fetched_at
Aeraki Mesh,aeraki.net,https://www.aeraki.net/,aeraki-mesh/aeraki,,,https://github.com/aeraki-mesh/aeraki,sandbox,Orchestration & Management,Service Mesh,Aeraki Mesh allows you to manage any layer-7 traffic in a service mesh,2022-06-17,2026-06-29T23:07:14+00:00
Agones,agones.dev,https://agones.dev/site/,agones-dev/agones,,,https://github.com/agones-dev/agones,sandbox,Orchestration & Management,Scheduling & Orchestration,"Agones is a library for hosting, running, and scaling dedicated game servers on Kubernetes.",2025-12-21,2026-06-29T23:07:14+00:00
Akri,docs.akri.sh,https://docs.akri.sh,project-akri/akri,,,https://github.com/project-akri/akri,sandbox,Provisioning,Automation & Configuration,,2021-09-14,2026-06-29T23:07:14+00:00
Antrea,antrea.io,https://antrea.io/,antrea-io/antrea,,,https://github.com/antrea-io/antrea,sandbox,Runtime,Cloud Native Network,Kubernetes networking based on Open vSwitch,2021-04-28,2026-06-29T23:07:14+00:00
Apicurio Registry,apicur.io,https://www.apicur.io,Apicurio/apicurio-registry,,,https://github.com/Apicurio/apicurio-registry,sandbox,App Definition and Development,Streaming & Messaging,Apicurio Registry is a runtime server system that stores a specific set of artifacts as files. ,2026-03-12,2026-06-29T23:07:14+00:00
Argo,argoproj.github.io,https://argoproj.github.io/,argoproj/argo-cd,,,https://github.com/argoproj/argo-cd,graduated,App Definition and Development,Continuous Integration & Delivery,"Kubernetes-native tools to run workflows, manage clusters, and do GitOps right.",2020-03-26,2026-06-29T23:07:14+00:00
Armada,armadaproject.io,https://armadaproject.io/,armadaproject/armada,,,https://github.com/armadaproject/armada,sandbox,Orchestration & Management,Scheduling & Orchestration,,2022-07-25,2026-06-29T23:07:14+00:00
Artifact Hub,artifacthub.io,https://artifacthub.io,artifacthub/hub,,,https://github.com/artifacthub/hub,incubating,App Definition and Development,Application Definition & Image Build,,2020-06-25,2026-06-29T23:07:14+00:00
Athenz,athenz.io,https://www.athenz.io,AthenZ/athenz,,,https://github.com/AthenZ/athenz,sandbox,Provisioning,Key Management,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic infrastructures,2021-01-26,2026-06-29T23:07:14+00:00
Atlantis,runatlantis.io,https://www.runatlantis.io/,runatlantis/atlantis,,,https://github.com/runatlantis/atlantis,sandbox,Provisioning,Automation & Configuration,Terraform Pull Request Automation for Teams,2024-06-18,2026-06-29T23:07:14+00:00
Backstage,backstage.io,https://backstage.io/,backstage/backstage,,,https://github.com/backstage/backstage,incubating,App Definition and Development,Application Definition & Image Build,,2020-09-08,2026-06-29T23:07:14+00:00
Bank-Vaults,bank-vaults.dev,https://bank-vaults.dev/,bank-vaults/bank-vaults,,,https://github.com/bank-vaults/bank-vaults,sandbox,Provisioning,Security & Compliance,"Bank-Vaults is a Vault swiss-army knife: a K8s operator, Go client with automatic token renewal, automatic configuration, multiple unseal options and more. A CLI tool to init, unseal and configure Vau",2024-06-18,2026-06-29T23:07:14+00:00
BFE,bfe-networks.net,https://www.bfe-networks.net,bfenetworks/bfe,,,https://github.com/bfenetworks/bfe,sandbox,Orchestration & Management,Service Proxy,Open-source layer 7 load balancer derived from proprietary Baidu FrontEnd,2020-06-25,2026-06-29T23:07:14+00:00
bootc,bootc-dev.github.io,https://bootc-dev.github.io,bootc-dev/bootc,,,https://github.com/bootc-dev/bootc,sandbox,Runtime,Container Runtime,"The bootc provides transactional, in-place operating system images and updates using OCI/Docker container images. This project applies the Docker container layering model to bootable host systems, usi",2025-01-21,2026-06-29T23:07:14+00:00
bpfman,bpfman.io,https://bpfman.io/,bpfman/bpfman,,,https://github.com/bpfman/bpfman,sandbox,Provisioning,Security & Compliance,An eBPF Manager for Linux and Kubernetes,2024-06-19,2026-06-29T23:07:14+00:00
Brigade,brigade.sh,https://brigade.sh/,brigadecore/brigade,,,https://github.com/brigadecore/brigade,archived,App Definition and Development,Continuous Integration & Delivery,,2019-03-18,2026-06-29T23:07:14+00:00
Buildpacks,buildpacks.io,https://buildpacks.io/,buildpacks/pack,,,https://github.com/buildpacks/pack,incubating,App Definition and Development,Application Definition & Image Build,,2018-10-03,2026-06-29T23:07:14+00:00
Cadence Workflow,cadenceworkflow.io,https://cadenceworkflow.io/,cadence-workflow/cadence,,,https://github.com/cadence-workflow/cadence,sandbox,Provisioning,Automation & Configuration,"Cadence is a distributed, scalable, durable, and highly available fault-oblivious stateful code platform.",2025-05-22,2026-06-29T23:07:14+00:00
Capsule,capsule.clastix.io,https://capsule.clastix.io,projectcapsule/capsule,,,https://github.com/projectcapsule/capsule,sandbox,Orchestration & Management,Scheduling & Orchestration,"Capsule implements a multi-tenant and policy-based environment in your Kubernetes cluster. It is designed as a micro-services-based ecosystem with the minimalist approach, leveraging only on upstream ",2022-12-13,2026-06-29T23:07:14+00:00
Carina,carina-io.github.io,https://carina-io.github.io/,carina-io/carina,,,https://github.com/carina-io/carina,sandbox,Runtime,Cloud Native Storage,,2022-12-14,2026-06-29T23:07:14+00:00
Cartography,cartography.dev,https://cartography.dev,cartography-cncf/cartography,,,https://github.com/cartography-cncf/cartography,sandbox,Provisioning,Security & Compliance,Cartography is a Python tool that consolidates infrastructure assets and the relationships between them in an intuitive graph view.,2024-08-23,2026-06-29T23:07:14+00:00
Carvel,carvel.dev,https://carvel.dev,carvel-dev/ytt,,,https://github.com/carvel-dev/ytt,sandbox,App Definition and Development,Application Definition & Image Build,"Carvel provides a set of reliable, single-purpose, composable tools that aid in your application building, configuration, and deployment to Kubernetes.",2022-09-14,2026-06-29T23:07:14+00:00
CDK for Kubernetes (CDK8s),cdk8s.io,https://cdk8s.io/,cdk8s-team/cdk8s,,,https://github.com/cdk8s-team/cdk8s,sandbox,Provisioning,Automation & Configuration,CDK8s lets you define Kubernetes apps and components using familiar programming languages and object-oriented APIs.,2020-11-10,2026-06-29T23:07:14+00:00
Cedar,cedarpolicy.com,https://cedarpolicy.com,cedar-policy/cedar,,,https://github.com/cedar-policy/cedar,sandbox,Provisioning,Security & Compliance,"Cedar is an open source authorization policy language that enables developers to express fine-grained permissions as easy-to-understand policies enforced in their applications, and decouple access con",2025-10-08,2026-06-29T23:07:14+00:00
cert-manager,cert-manager.io,https://cert-manager.io/,cert-manager/cert-manager,,,https://github.com/cert-manager/cert-manager,graduated,Provisioning,Security & Compliance,,2020-11-10,2026-06-29T23:07:14+00:00
Chaos Mesh,chaos-mesh.org,https://chaos-mesh.org/,chaos-mesh/chaos-mesh,,,https://github.com/chaos-mesh/chaos-mesh,incubating,Observability and Analysis,Chaos Engineering,,2020-07-14,2026-06-29T23:07:14+00:00
Chaosblade,chaosblade.io,https://chaosblade.io/,chaosblade-io/chaosblade,,,https://github.com/chaosblade-io/chaosblade,sandbox,Observability and Analysis,Chaos Engineering,,2021-04-28,2026-06-29T23:07:14+00:00
Cilium,cilium.io,https://cilium.io/,cilium/cilium,,,https://github.com/cilium/cilium,graduated,Runtime,Cloud Native Network,,2021-10-13,2026-06-29T23:07:14+00:00
Cloud Custodian,cloudcustodian.io,https://cloudcustodian.io/,cloud-custodian/cloud-custodian,,,https://github.com/cloud-custodian/cloud-custodian,incubating,Provisioning,Automation & Configuration,,2020-06-25,2026-06-29T23:07:14+00:00
CloudEvents,cloudevents.io,https://cloudevents.io/,cloudevents/spec,,,https://github.com/cloudevents/spec,graduated,App Definition and Development,Streaming & Messaging,Standardizing common eventing metadata and their location to help with event identification and routing.,2018-05-15,2026-06-29T23:07:14+00:00
CloudNativePG,cloudnative-pg.io,https://www.cloudnative-pg.io/,cloudnative-pg/cloudnative-pg,,,https://github.com/cloudnative-pg/cloudnative-pg,sandbox,App Definition and Development,Database,"CloudNativePG is a comprehensive platform designed to seamlessly manage PostgreSQL databases within Kubernetes environments, covering the entire operational lifecycle from initial deployment to ongoin",2025-01-21,2026-06-29T23:07:14+00:00
Clusternet,clusternet.io,https://clusternet.io,clusternet/clusternet,,,https://github.com/clusternet/clusternet,sandbox,Orchestration & Management,Scheduling & Orchestration,"[CNCF Sandbox Project] Managing your Kubernetes clusters (including public, private, edge, etc.) as easily as visiting the Internet",2023-03-07,2026-06-29T23:07:14+00:00
Clusterpedia,clusterpedia.io,https://clusterpedia.io,clusterpedia-io/clusterpedia,,,https://github.com/clusterpedia-io/clusterpedia,sandbox,Orchestration & Management,Scheduling & Orchestration,"Clusterpedia is used for complex resources search across multiple clusters, support simultaneous search of a single kind of resource  or multiple kinds of resources existing in multiple clusters.",2022-06-17,2026-06-29T23:07:14+00:00
CNI-Genie,cnigenie.netlify.app,https://cnigenie.netlify.app,cni-genie/CNI-Genie,,,https://github.com/cni-genie/CNI-Genie,archived,Runtime,Cloud Native Network,,2020-06-25,2026-06-29T23:07:14+00:00
CoHDI,github.com,https://github.com/CoHDI,,,,https://github.com/CoHDI,sandbox,Orchestration & Management,Scheduling & Orchestration,"CoHDI (Composable Hardware in Disaggregated Infrastructure) enables dynamic device scaling across next-generation architectures. As a community-driven, standards-based open ecosystem, CoHDI focuses on",2025-12-19,2026-06-29T23:07:14+00:00
composefs,github.com,https://github.com/containers/composefs,containers/composefs,,,https://github.com/containers/composefs,sandbox,Runtime,Container Runtime,"A project that combines Linux kernel features to provide read-only mountable filesystem trees stacking on top of an underlying ""lower"" Linux filesystem, particularly useful for mounting container imag",2025-01-21,2026-06-29T23:07:14+00:00
Confidential Containers,confidentialcontainers.org,https://confidentialcontainers.org/,confidential-containers/confidential-containers,,,https://github.com/confidential-containers/confidential-containers,sandbox,Provisioning,Security & Compliance,Confidential Containers is an open source community working to enable cloud native  confidential computing by leveraging Trusted Execution Environments to protect  containers and data.,2022-03-08,2026-06-29T23:07:14+00:00
Connect RPC,connectrpc.com,https://connectrpc.com/,connectrpc/connect-go,,,https://github.com/connectrpc/connect-go,sandbox,Orchestration & Management,Remote Procedure Call,Connect is a family of libraries for building browser and gRPC-compatible HTTP APIs.,2024-04-13,2026-06-29T23:07:14+00:00
Container Network Interface (CNI),cni.dev,https://www.cni.dev/,containernetworking/cni,,,https://github.com/containernetworking/cni,incubating,Runtime,Cloud Native Network,,2017-05-23,2026-06-29T23:07:14+00:00
container2wasm,github.com,https://github.com/container2wasm/container2wasm,container2wasm/container2wasm,,,https://github.com/container2wasm/container2wasm,sandbox,Wasm,Orchestration & Management,A tool to run containers on Wasm-enabled environments.,2025-01-21,2026-06-29T23:07:14+00:00
containerd,containerd.io,https://containerd.io/,containerd/containerd,,,https://github.com/containerd/containerd,graduated,Runtime,Container Runtime,,2017-03-29,2026-06-29T23:07:14+00:00
ContainerSSH,containerssh.io,https://containerssh.io,containerssh/containerssh,,,https://github.com/containerssh/containerssh,sandbox,Provisioning,Security & Compliance,"ContainerSSH launches a new container for each SSH connection in Kubernetes, Podman or Docker. The user is transparently dropped in the container and the container is removed when the user disconnects",2022-09-14,2026-06-29T23:07:14+00:00
Contour,projectcontour.io,https://projectcontour.io,projectcontour/contour,,,https://github.com/projectcontour/contour,incubating,Orchestration & Management,Service Proxy,,2020-07-07,2026-06-29T23:07:14+00:00
Copa,project-copacetic.github.io,https://project-copacetic.github.io/copacetic/,project-copacetic/copacetic,,,https://github.com/project-copacetic/copacetic,sandbox,Provisioning,Security & Compliance,CLI tool for directly patching container image vulnerabilities,2023-09-19,2026-06-29T23:07:14+00:00
CoreDNS,coredns.io,https://coredns.io/,coredns/coredns,,,https://github.com/coredns/coredns,graduated,Orchestration & Management,Coordination & Service Discovery,,2017-02-27,2026-06-29T23:07:14+00:00
Cortex,cortexmetrics.io,https://cortexmetrics.io/,cortexproject/cortex,,,https://github.com/cortexproject/cortex,incubating,Observability and Analysis,Observability,,2018-09-20,2026-06-29T23:07:14+00:00
Cozystack,cozystack.io,https://cozystack.io,cozystack/cozystack,,,https://github.com/cozystack/cozystack,sandbox,Orchestration & Management,Scheduling & Orchestration,"Cozystack is a free PaaS platform and framework for building private clouds and providing users/customers with managed Kubernetes,  KubeVirt-based VMs, databases as a service, NATS, message brokers, e",2025-03-04,2026-06-29T23:07:14+00:00
CRI-O,cri-o.io,https://cri-o.io/,cri-o/cri-o,,,https://github.com/cri-o/cri-o,graduated,Runtime,Container Runtime,,2019-04-08,2026-06-29T23:07:14+00:00
Crossplane,crossplane.io,https://crossplane.io/,crossplane/crossplane,,,https://github.com/crossplane/crossplane,graduated,Orchestration & Management,Scheduling & Orchestration,Crossplane is the cloud native control plane framework that allows you to build control planes without needing to write code. Crossplane has a highly extensible backend that enables you to orchestrate,2020-06-25,2026-06-29T23:07:14+00:00
CubeFS,cubefs.io,https://cubefs.io/,cubeFS/cubefs,,,https://github.com/cubeFS/cubefs,graduated,Runtime,Cloud Native Storage,,2019-12-16,2026-06-29T23:07:14+00:00
Curiefense,curiefense.io,https://www.curiefense.io/,,,,,archived,Provisioning,Security & Compliance,,2021-01-26,2026-06-29T23:07:14+00:00
Curve,opencurve.io,http://www.opencurve.io/,opencurve/curve,,,https://github.com/opencurve/curve,archived,Runtime,Cloud Native Storage,"Curve is a distributed storage system designed and developed independently by NetEase,  featured with high performance, high availability, high reliability and well expansibility,  and it can serve as",2022-06-17,2026-06-29T23:07:14+00:00
Dalec,project-dalec.github.io,https://project-dalec.github.io/dalec/,project-dalec/dalec,,,https://github.com/project-dalec/dalec,sandbox,App Definition and Development,Application Definition & Image Build,Dalec provides a declarative format for building system packages and containers from those packages in a secure way for supply chain security.,2025-10-08,2026-06-29T23:07:14+00:00
Dapr,dapr.io,https://dapr.io,dapr/dapr,,,https://github.com/dapr/dapr,graduated,App Definition and Development,Application Definition & Image Build,,2021-11-09,2026-06-29T23:07:14+00:00
Devfile,devfile.io,https://devfile.io,devfile/api,,,https://github.com/devfile/api,sandbox,App Definition and Development,Application Definition & Image Build,,2022-01-11,2026-06-29T23:07:14+00:00
DevSpace,devspace.sh,https://devspace.sh,devspace-sh/devspace,,,https://github.com/devspace-sh/devspace,sandbox,App Definition and Development,Application Definition & Image Build,,2022-12-13,2026-06-29T23:07:14+00:00
DevStream,devstream.io,https://www.devstream.io/,devstream-io/devstream,,,https://github.com/devstream-io/devstream,archived,Provisioning,Automation & Configuration,,2022-06-17,2026-06-29T23:07:14+00:00
Dex,dexidp.io,https://dexidp.io/,dexidp/dex,,,https://github.com/dexidp/dex,sandbox,Provisioning,Security & Compliance,,2020-06-25,2026-06-29T23:07:14+00:00
Distribution,github.com,https://github.com/distribution/distribution,distribution/distribution,,,https://github.com/distribution/distribution,sandbox,Provisioning,Container Registry,,2021-01-26,2026-06-29T23:07:14+00:00
Dragonfly,d7y.io,https://d7y.io/,dragonflyoss/dragonfly,,,https://github.com/dragonflyoss/dragonfly,graduated,Provisioning,Container Registry,"Delivers efficient, stable, and secure data distribution and acceleration powered by P2P technology, with an optional content‑addressable filesystem that accelerates OCI container launch.",2018-11-13,2026-06-29T23:07:14+00:00
Drasi,drasi.io,https://drasi.io,drasi-project/drasi-platform,,,http://github.com/drasi-project/drasi-platform,sandbox,App Definition and Development,Streaming & Messaging,"A data change processing platform to simplify change-driven systems that need to detect, evaluate, and react to data changes quickly and efficiently at scale.",2025-01-21,2026-06-29T23:07:14+00:00
Easegress,megaease.com,https://megaease.com/easegress,easegress-io/easegress,,,https://github.com/easegress-io/easegress,sandbox,Orchestration & Management,API Gateway,,2023-12-19,2026-06-29T23:07:14+00:00
Emissary-Ingress,emissary-ingress.dev,https://emissary-ingress.dev/,emissary-ingress/emissary,,,https://github.com/emissary-ingress/emissary,incubating,Orchestration & Management,API Gateway,,2021-04-13,2026-06-29T23:07:14+00:00
Envoy,envoyproxy.io,https://www.envoyproxy.io,envoyproxy/envoy,,,https://github.com/envoyproxy/envoy,graduated,Orchestration & Management,Service Proxy,,2017-09-13,2026-06-29T23:07:14+00:00
Eraser,eraser-dev.github.io,https://eraser-dev.github.io/eraser/,eraser-dev/eraser,,,https://github.com/eraser-dev/eraser,sandbox,Orchestration & Management,Scheduling & Orchestration,Eraser uses vulnerability data to remove non-running images from all Kubernetes nodes in a cluster.,2023-06-30,2026-06-29T23:07:14+00:00
etcd,etcd.io,https://etcd.io/,etcd-io/etcd,,,https://github.com/etcd-io/etcd,graduated,Orchestration & Management,Coordination & Service Discovery,,2018-12-11,2026-06-29T23:07:14+00:00
external-secrets,external-secrets.io,https://external-secrets.io/,external-secrets/external-secrets,,,https://github.com/external-secrets/external-secrets,sandbox,Provisioning,Security & Compliance,,2022-07-26,2026-06-29T23:07:14+00:00
FabEdge,github.com,https://github.com/FabEdge/,FabEdge/fabedge,,,https://github.com/FabEdge/fabedge,archived,Runtime,Cloud Native Network,,2022-03-08,2026-06-29T23:07:14+00:00
Falco,falco.org,https://falco.org/,falcosecurity/falco,,,https://github.com/falcosecurity/falco,graduated,Provisioning,Security & Compliance,,2018-10-10,2026-06-29T23:07:14+00:00
Flatcar Container Linux,flatcar.org,https://www.flatcar.org/,flatcar/Flatcar,,,https://github.com/flatcar/Flatcar,incubating,Platform,Certified Kubernetes - Distribution,"A community Linux distribution designed for container workloads, with high security and low maintenance",2024-08-02,2026-06-29T23:07:14+00:00
Fluentd,fluentd.org,https://www.fluentd.org/,fluent/fluentd,,,https://github.com/fluent/fluentd,graduated,Observability and Analysis,Observability,,2016-11-08,2026-06-29T23:07:14+00:00
Fluid,fluid-cloudnative.github.io,https://fluid-cloudnative.github.io/,fluid-cloudnative/fluid,,,https://github.com/fluid-cloudnative/fluid,incubating,Orchestration & Management,Scheduling & Orchestration,Fluid is an orchestration platform for elastic data abstraction and acceleration in cloud native environment.,2021-04-28,2026-06-29T23:07:14+00:00
Flux,fluxcd.io,https://fluxcd.io/,fluxcd/flux2,,,https://github.com/fluxcd/flux2,graduated,App Definition and Development,Continuous Integration & Delivery,,2019-07-15,2026-06-29T23:07:14+00:00
Fonio,ingraind.org,https://ingraind.org/,foniod/foniod,,,https://github.com/foniod/foniod,archived,Observability and Analysis,Observability,,2021-03-30,2026-06-29T23:07:14+00:00
gRPC,grpc.io,https://grpc.io,grpc/grpc,,,https://github.com/grpc/grpc,incubating,Orchestration & Management,Remote Procedure Call,"A high performance, open source universal RPC framework.",2017-02-16,2026-06-29T23:07:14+00:00
hami,project-hami.github.io,https://project-hami.github.io/HAMi/,Project-HAMi/HAMi,,,https://github.com/Project-HAMi/HAMi,sandbox,Orchestration & Management,Scheduling & Orchestration,Heterogeneous AI Computing Virtualization Middleware,2024-08-21,2026-06-29T23:07:14+00:00
Harbor,goharbor.io,https://goharbor.io/,goharbor/harbor,,,https://github.com/goharbor/harbor,graduated,Provisioning,Container Registry,,2018-07-31,2026-06-29T23:07:14+00:00
Headlamp,headlamp.dev,https://headlamp.dev,kubernetes-sigs/headlamp,,,https://github.com/kubernetes-sigs/headlamp,sandbox,Observability and Analysis,Observability,Extensible open source multi-cluster Kubernetes user interface,2023-05-17,2026-06-29T23:07:14+00:00
Helm,helm.sh,https://helm.sh/,helm/helm,,,https://github.com/helm/helm,graduated,App Definition and Development,Application Definition & Image Build,,2018-06-01,2026-06-29T23:07:14+00:00
Hexa,hexaorchestration.org,https://hexaorchestration.org/,hexa-org/policy-orchestrator,,,https://github.com/hexa-org/policy-orchestrator,archived,Provisioning,Security & Compliance,,2022-07-26,2026-06-29T23:07:14+00:00
Higress,higress.io,https://higress.io,higress-group/higress,,,https://github.com/higress-group/higress,sandbox,Orchestration & Management,API Gateway,,2026-03-15,2026-06-29T23:07:14+00:00
HolmesGPT,holmesgpt.dev,https://holmesgpt.dev,HolmesGPT/holmesgpt,,,https://github.com/HolmesGPT/holmesgpt,sandbox,Observability and Analysis,Observability,"HolmesGPT is an AI agent that automates cloud-native troubleshooting, bridging knowledge gaps by investigating alerts, executing runbooks, and correlating observability data in cloud-native platforms.",2025-10-08,2026-06-29T23:07:14+00:00
HwameiStor,hwameistor.io,https://hwameistor.io/,hwameistor/hwameistor,,,https://github.com/hwameistor/hwameistor,sandbox,Runtime,Cloud Native Storage,Hwameistor is an HA local storage system for cloud-native stateful workloads,2023-06-22,2026-06-29T23:07:14+00:00
Hyperlight,github.com,https://github.com/hyperlight-dev/hyperlight,hyperlight-dev/hyperlight,,,https://github.com/hyperlight-dev/hyperlight,sandbox,Runtime,Container Runtime,"A lightweight, secure container runtime solution designed for modern cloud-native workloads",2025-03-04,2026-06-29T23:07:14+00:00
in-toto,in-toto.io,https://in-toto.io,in-toto/in-toto,,,https://github.com/in-toto/in-toto,graduated,Provisioning,Security & Compliance,,2019-08-14,2026-06-29T23:07:14+00:00
Inclavare Containers,github.com,https://github.com/inclavare-containers/,inclavare-containers/inclavare-containers,,,https://github.com/inclavare-containers/inclavare-containers,sandbox,Runtime,Container Runtime,,2021-09-14,2026-06-29T23:07:14+00:00
Inspektor Gadget,inspektor-gadget.io,https://inspektor-gadget.io/,inspektor-gadget/inspektor-gadget,,,https://github.com/inspektor-gadget/inspektor-gadget,sandbox,Observability and Analysis,Observability,Open source eBPF debugging and data collection tool for Kubernetes and Linux,2023-03-07,2026-06-29T23:07:14+00:00
Interlink,interlink-project.dev,https://interlink-project.dev,interlink-hq/interLink,,,https://github.com/interlink-hq/interLink,sandbox,Runtime,Container Runtime,InterLink aims to provide an abstraction for the execution of a Kubernetes pod on any remote resource capable of managing a Container execution lifecycle thanks to the Virtual Kubelet interface. It al,2025-03-04,2026-06-29T23:07:14+00:00
Istio,istio.io,https://istio.io/,istio/istio,,,https://github.com/istio/istio,graduated,Orchestration & Management,Service Mesh,"Simplify observability, traffic management, security, and policy with the Istio service mesh.",2022-09-30,2026-06-29T23:07:14+00:00
Jaeger,jaegertracing.io,https://www.jaegertracing.io/,jaegertracing/jaeger,,,https://github.com/jaegertracing/jaeger,graduated,Observability and Analysis,Observability,,2017-09-13,2026-06-29T23:07:14+00:00
k0s,k0sproject.io,https://k0sproject.io/,k0sproject/k0s,,,https://github.com/k0sproject/k0s,sandbox,Orchestration & Management,Scheduling & Orchestration,,2025-01-19,2026-06-29T23:07:14+00:00
k3s,k3s.io,https://k3s.io,k3s-io/k3s,,,https://github.com/k3s-io/k3s,sandbox,Platform,Certified Kubernetes - Distribution,Lightweight Kubernetes,2020-08-19,2026-06-29T23:07:14+00:00
k8gb,k8gb.io,https://www.k8gb.io,k8gb-io/k8gb,,,https://github.com/k8gb-io/k8gb,sandbox,Orchestration & Management,Coordination & Service Discovery,,2021-03-30,2026-06-29T23:07:14+00:00
K8sGPT,k8sgpt.ai,https://www.k8sgpt.ai,k8sgpt-ai/k8sgpt,,,https://github.com/k8sgpt-ai/k8sgpt,sandbox,Observability and Analysis,Observability,,2023-12-19,2026-06-29T23:07:14+00:00
K8up,k8up.io,https://www.k8up.io/,k8up-io/k8up,,,https://github.com/k8up-io/k8up,sandbox,Runtime,Cloud Native Storage,,2021-11-16,2026-06-29T23:07:14+00:00
kagent,kagent.dev,https://kagent.dev/,kagent-dev/kagent,,,https://github.com/kagent-dev/kagent,sandbox,Provisioning,Automation & Configuration,Kagent is an open source programming framework designed for DevOps and platform engineers to run AI agents in Kubernetes,2025-05-22,2026-06-29T23:07:14+00:00
KAI Scheduler,github.com,https://github.com/kai-scheduler/KAI-Scheduler,kai-scheduler/KAI-Scheduler,,,https://github.com/kai-scheduler/KAI-Scheduler,sandbox,Orchestration & Management,Scheduling & Orchestration,"KAI Scheduler is a robust, efficient, and scalable Kubernetes scheduler that optimizes GPU resource allocation for AI workloads in large-scale clusters.",2025-12-21,2026-06-29T23:07:14+00:00
Kairos,kairos.io,https://kairos.io,kairos-io/kairos,,,https://github.com/kairos-io/kairos,sandbox,Provisioning,Automation & Configuration,,2024-04-13,2026-06-29T23:07:14+00:00
KAITO,kaito-project.netlify.app,https://kaito-project.netlify.app/,kaito-project/kaito,,,https://github.com/kaito-project/kaito,sandbox,Inference,Framework,"Kubernetes AI Toolchain Operator (KAITO) simplifies LLM inference, tuning, and RAG workloads on Kubernetes.",2024-10-17,2026-06-29T23:07:14+00:00
Kanister,kanister.io,https://kanister.io,kanisterio/kanister,,,https://github.com/kanisterio/kanister,sandbox,Runtime,Cloud Native Storage,,2023-09-20,2026-06-29T23:07:14+00:00
Karmada,karmada.io,https://karmada.io/,karmada-io/karmada,,,https://github.com/karmada-io/karmada,incubating,Orchestration & Management,Scheduling & Orchestration,,2021-09-14,2026-06-29T23:07:14+00:00
KCL,kcl-lang.io,https://kcl-lang.io/,kcl-lang/kcl,,,https://github.com/kcl-lang/kcl,sandbox,Provisioning,Automation & Configuration,A constraint-based record & functional language mainly used in configuration and policy scenarios.,2023-09-20,2026-06-29T23:07:14+00:00
