"package","ecosystem","value_class","github_repo","canonical_git_url","gh_mirror","confidence","self_confidence_raw","verified","agreement","n_runs","dissent","tier","source","reasoning","review_note","checked_at","model"
"acl","cpp","B","","https://git.savannah.gnu.org/git/acl.git","True","0.30","0.40","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNU acl on Savannah. LLM finder picked qunixorg/acl, which is a packaging fork rather than a canonical mirror — leaving empty.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"alsa-lib","cpp","C","alsa-project/alsa-lib","https://github.com/alsa-project/alsa-lib.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","ALSA project's official mirror.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"aom","cpp","B","","https://aomedia.googlesource.com/aom.git","True","0.70","0.70","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","AV1 reference encoder at aomedia.googlesource.com. LLM finder picked aliveteam/aom at 0.42 conf — not authoritative. No widely-known mirror.","","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"apache","cpp","C","apache/httpd","https://github.com/apache/httpd.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Apache HTTP Server mirror on apache org.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"apparmor","cpp","C","","https://gitlab.com/apparmor/apparmor.git","True","0.85","0.85","","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","AppArmor canonical on gitlab.com.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"apr","cpp","C","apache/apr","https://github.com/apache/apr.git","False","0.92","0.92","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Apache Portable Runtime.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"apr-util","cpp","C","apache/apr-util","https://github.com/apache/apr-util.git","False","0.92","0.92","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Apache Portable Runtime utils.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"apt","cpp","C","Debian/apt","https://github.com/Debian/apt.git","False","0.75","0.75","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Debian apt; mirror on github.com/Debian/apt; canonical at salsa.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"at-spi2-core","cpp","C","GNOME/at-spi2-core","https://github.com/GNOME/at-spi2-core.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","GNOME at-spi2-core; canonical at gitlab.gnome.org.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"attr","cpp","C","","https://git.savannah.nongnu.org/git/attr.git","True","0.45","0.75","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","Attr utility on Savannah; no widely-known GH mirror.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"autoconf","cpp","B","autotools-mirror/autoconf","https://git.savannah.gnu.org/git/autoconf.git","True","0.65","0.95","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","HTTP-verified. autotools-mirror is the conventional GNU autotools mirror org. Canonical: git.savannah.gnu.org/cgit/autoconf.git.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:19:29Z","claude-opus-4-7-training-knowledge+http-verify"
"automake","cpp","C","autotools-mirror/automake","https://github.com/autotools-mirror/automake.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","autotools-mirror org.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"bash","cpp","C","","https://git.savannah.gnu.org/git/bash.git","True","0.40","0.70","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","V2 GUESS WRONG: bminor/bash 404'd (the bminor pattern doesn't extend to bash). Canonical at git.savannah.gnu.org/cgit/bash.git.","git ls-remote failed; URL blanked | URL restored after retest; valid-but-slow git endpoint (Savannah/SourceForge)","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
"bind","cpp","C","isc-projects/bind9","https://github.com/isc-projects/bind9.git","False","0.85","0.85","true","claude-knowledge+http","1","","claude-guess","training data + HTTP HEAD","ISC BIND9; mirror on github.","","2026-04-27T15:53:22Z","claude-opus-4-7-training-knowledge+http-verify"
